goal,dimension,region_id,score,year
SPFIS,pressures,4,14.72,2005
SPFIS,pressures,5,21.92,2005
SPFIS,pressures,6,12.55,2005
SPFIS,pressures,7,20.13,2005
SPFIS,pressures,8,16.96,2005
SPFIS,pressures,9,17.08,2005
SPFIS,pressures,10,20.65,2005
SPFIS,pressures,11,16.35,2005
SPFIS,pressures,0,21.13,2005
SPP,pressures,1,7.11,2005
SPP,pressures,2,10.99,2005
SPP,pressures,3,8.73,2005
SPP,pressures,4,11.82,2005
SPP,pressures,5,30.54,2005
SPP,pressures,6,12.85,2005
SPP,pressures,7,20.21,2005
SPP,pressures,8,18.75,2005
SPP,pressures,9,14.93,2005
SPP,pressures,10,24.69,2005
SPP,pressures,11,15.32,2005
SPP,pressures,0,30.91,2005
TR,pressures,1,0.03,2005
TR,pressures,2,3.09,2005
TR,pressures,3,2.22,2005
TR,pressures,4,3.47,2005
TR,pressures,5,29.16,2005
TR,pressures,6,15.67,2005
TR,pressures,7,20.25,2005
TR,pressures,8,18.96,2005
TR,pressures,9,22.47,2005
TR,pressures,10,30.25,2005
TR,pressures,11,26.55,2005
TR,pressures,0,22.35,2005
BD,pressures,1,NA,2006
BD,pressures,2,NA,2006
BD,pressures,3,NA,2006
BD,pressures,4,NA,2006
BD,pressures,5,NA,2006
BD,pressures,6,NA,2006
BD,pressures,7,NA,2006
BD,pressures,8,NA,2006
BD,pressures,9,NA,2006
BD,pressures,10,NA,2006
BD,pressures,11,NA,2006
BD,pressures,0,NA,2006
CW,pressures,1,19.04,2006
CW,pressures,2,18.89,2006
CW,pressures,3,16.18,2006
CW,pressures,4,21.39,2006
CW,pressures,5,60,2006
CW,pressures,6,18.14,2006
CW,pressures,7,33.19,2006
CW,pressures,8,23.97,2006
CW,pressures,9,45.86,2006
CW,pressures,10,56.39,2006
CW,pressures,11,62.86,2006
CW,pressures,0,42.4,2006
ECO,pressures,1,NA,2006
ECO,pressures,2,NA,2006
ECO,pressures,3,NA,2006
ECO,pressures,4,NA,2006
ECO,pressures,5,14.84,2006
ECO,pressures,6,10.15,2006
ECO,pressures,7,13.36,2006
ECO,pressures,8,7.24,2006
ECO,pressures,9,11.59,2006
ECO,pressures,10,13.43,2006
ECO,pressures,11,12.75,2006
ECO,pressures,0,11.51,2006
FIS,pressures,1,6.24,2006
FIS,pressures,2,14.7,2006
FIS,pressures,3,13.31,2006
FIS,pressures,4,15.97,2006
FIS,pressures,5,25.66,2006
FIS,pressures,6,12.83,2006
FIS,pressures,7,15.27,2006
FIS,pressures,8,12.2,2006
FIS,pressures,9,14.03,2006
FIS,pressures,10,23.77,2006
FIS,pressures,11,14.96,2006
FIS,pressures,0,23.05,2006
FP,pressures,1,NA,2006
FP,pressures,2,NA,2006
FP,pressures,3,NA,2006
FP,pressures,4,NA,2006
FP,pressures,5,NA,2006
FP,pressures,6,NA,2006
FP,pressures,7,NA,2006
FP,pressures,8,NA,2006
FP,pressures,9,NA,2006
FP,pressures,10,NA,2006
FP,pressures,11,NA,2006
FP,pressures,0,NA,2006
HAB,pressures,1,5.27,2006
HAB,pressures,2,27.92,2006
