goal,dimension,region_id,score,year
SPFIS,resilience,5,55.58,2005
SPFIS,resilience,6,60.55,2005
SPFIS,resilience,7,57.6,2005
SPFIS,resilience,8,57.49,2005
SPFIS,resilience,9,58.47,2005
SPFIS,resilience,10,57.25,2005
SPFIS,resilience,11,51.83,2005
SPFIS,resilience,0,62.17,2005
SPP,resilience,1,60.26,2005
SPP,resilience,2,68.74,2005
SPP,resilience,3,60.37,2005
SPP,resilience,4,61.56,2005
SPP,resilience,5,65.74,2005
SPP,resilience,6,69.41,2005
SPP,resilience,7,68.38,2005
SPP,resilience,8,68.17,2005
SPP,resilience,9,70.83,2005
SPP,resilience,10,68.37,2005
SPP,resilience,11,58.24,2005
SPP,resilience,0,72.93,2005
TR,resilience,1,70,2005
TR,resilience,2,61.94,2005
TR,resilience,3,56.77,2005
TR,resilience,4,54.62,2005
TR,resilience,5,67.61,2005
TR,resilience,6,69.98,2005
TR,resilience,7,69.8,2005
TR,resilience,8,69.69,2005
TR,resilience,9,70.89,2005
TR,resilience,10,69.48,2005
TR,resilience,11,63.49,2005
TR,resilience,0,74.26,2005
BD,resilience,1,NA,2006
BD,resilience,2,NA,2006
BD,resilience,3,NA,2006
BD,resilience,4,NA,2006
BD,resilience,5,NA,2006
BD,resilience,6,NA,2006
BD,resilience,7,NA,2006
BD,resilience,8,NA,2006
BD,resilience,9,NA,2006
BD,resilience,10,NA,2006
BD,resilience,11,NA,2006
BD,resilience,0,NA,2006
CW,resilience,1,NA,2006
CW,resilience,2,NA,2006
CW,resilience,3,NA,2006
CW,resilience,4,NA,2006
CW,resilience,5,78.08,2006
CW,resilience,6,80.1,2006
CW,resilience,7,81.53,2006
CW,resilience,8,81.53,2006
CW,resilience,9,79.22,2006
CW,resilience,10,79.44,2006
CW,resilience,11,73.59,2006
CW,resilience,0,79.51,2006
ECO,resilience,1,NA,2006
ECO,resilience,2,NA,2006
ECO,resilience,3,NA,2006
ECO,resilience,4,NA,2006
