goal,dimension,region_id,score,year
TR,resilience,5,64.82,2005
TR,resilience,6,57.4,2005
TR,resilience,7,71.56,2005
TR,resilience,8,69.8,2005
TR,resilience,9,57.96,2005
TR,resilience,10,62.6,2005
TR,resilience,11,63.53,2005
TR,resilience,0,60.27,2005
NA,resilience,1,NA,2005
NA,resilience,2,NA,2005
NA,resilience,3,NA,2005
NA,resilience,4,NA,2005
BD,resilience,1,NA,2006
BD,resilience,2,NA,2006
BD,resilience,3,NA,2006
BD,resilience,4,NA,2006
BD,resilience,5,NA,2006
BD,resilience,6,NA,2006
BD,resilience,7,NA,2006
BD,resilience,8,NA,2006
BD,resilience,9,NA,2006
BD,resilience,10,NA,2006
BD,resilience,11,NA,2006
BD,resilience,0,NA,2006
CW,resilience,1,NA,2006
CW,resilience,2,NA,2006
CW,resilience,3,NA,2006
CW,resilience,4,NA,2006
CW,resilience,5,NA,2006
CW,resilience,6,NA,2006
CW,resilience,7,NA,2006
CW,resilience,8,NA,2006
CW,resilience,9,NA,2006
CW,resilience,10,NA,2006
CW,resilience,11,NA,2006
CW,resilience,0,NA,2006
ECO,resilience,1,NA,2006
ECO,resilience,2,NA,2006
ECO,resilience,3,NA,2006
ECO,resilience,4,NA,2006
ECO,resilience,5,65.7,2006
ECO,resilience,6,59.2,2006
ECO,resilience,7,69.48,2006
ECO,resilience,8,67.73,2006
ECO,resilience,9,59.78,2006
ECO,resilience,10,56.4,2006
ECO,resilience,11,61.85,2006
ECO,resilience,0,56.43,2006
FIS,resilience,1,NA,2006
FIS,resilience,2,NA,2006
FIS,resilience,3,NA,2006
FIS,resilience,4,NA,2006
FIS,resilience,5,65.7,2006
FIS,resilience,6,59.2,2006
FIS,resilience,7,69.48,2006
FIS,resilience,8,67.73,2006
FIS,resilience,9,59.78,2006
FIS,resilience,10,56.4,2006
FIS,resilience,11,61.85,2006
FIS,resilience,0,56.43,2006
FP,resilience,1,NA,2006
FP,resilience,2,NA,2006
FP,resilience,3,NA,2006
FP,resilience,4,NA,2006
FP,resilience,5,NA,2006
FP,resilience,6,NA,2006
FP,resilience,7,NA,2006
FP,resilience,8,NA,2006
FP,resilience,9,NA,2006
FP,resilience,10,NA,2006
FP,resilience,11,NA,2006
FP,resilience,0,NA,2006
HAB,resilience,1,NA,2006
HAB,resilience,2,NA,2006
HAB,resilience,3,NA,2006
HAB,resilience,4,NA,2006
HAB,resilience,5,65.7,2006
HAB,resilience,6,59.2,2006
HAB,resilience,7,69.48,2006
HAB,resilience,8,67.73,2006
HAB,resilience,9,59.78,2006
HAB,resilience,10,56.4,2006
HAB,resilience,11,61.85,2006
HAB,resilience,0,56.43,2006
HS,resilience,1,NA,2006
HS,resilience,2,NA,2006
HS,resilience,3,NA,2006
HS,resilience,4,NA,2006
HS,resilience,5,65.7,2006
HS,resilience,6,59.2,2006
HS,resilience,7,69.48,2006
HS,resilience,8,67.73,2006
HS,resilience,9,59.78,2006
HS,resilience,10,56.4,2006
HS,resilience,11,61.85,2006
HS,resilience,0,56.43,2006
ICO,resilience,1,NA,2006
ICO,resilience,2,NA,2006
ICO,resilience,3,NA,2006
ICO,resilience,4,NA,2006
ICO,resilience,5,65.7,2006
ICO,resilience,6,59.2,2006
ICO,resilience,7,69.48,2006
ICO,resilience,8,67.73,2006
ICO,resilience,9,59.78,2006
ICO,resilience,10,56.4,2006
ICO,resilience,11,61.85,2006
ICO,resilience,0,56.43,2006
LE,resilience,1,NA,2006
LE,resilience,2,NA,2006
LE,resilience,3,NA,2006
LE,resilience,4,NA,2006
LE,resilience,5,NA,2006
LE,resilience,6,NA,2006
LE,resilience,7,NA,2006
LE,resilience,8,NA,2006
LE,resilience,9,NA,2006
LE,resilience,10,NA,2006
LE,resilience,11,NA,2006
LE,resilience,0,NA,2006
LIV,resilience,1,NA,2006
LIV,resilience,2,NA,2006
LIV,resilience,3,NA,2006
LIV,resilience,4,NA,2006
LIV,resilience,5,65.7,2006
LIV,resilience,6,59.2,2006
LIV,resilience,7,69.48,2006
LIV,resilience,8,67.73,2006
LIV,resilience,9,59.78,2006
LIV,resilience,10,56.4,2006
LIV,resilience,11,61.85,2006
LIV,resilience,0,56.43,2006
LSP,resilience,1,NA,2006
LSP,resilience,2,NA,2006
LSP,resilience,3,NA,2006
LSP,resilience,4,NA,2006
LSP,resilience,5,65.7,2006
LSP,resilience,6,59.2,2006
LSP,resilience,7,69.48,2006
LSP,resilience,8,67.73,2006
