"","X1","year","rgn_id","rgn_name","pressure_score"
"1",1,2005,6,"Maine",0.425956104235081
"2",2,2005,9,"New Hampshire",0.420435692942571
"3",3,2005,7,"Massachusetts-North",0.284444800784018
"4",4,2005,8,"Massachusetts-South",0.301960664710875
"5",5,2005,11,"Rhode Island",0.364742845369111
"6",6,2005,5,"Connecticut",0.35175918531998
"7",7,2005,10,"New York",0.374026511704766
"8",8,2006,6,"Maine",0.407956104235081
"9",9,2006,9,"New Hampshire",0.40218569294257
"10",10,2006,7,"Massachusetts-North",0.305194800784018
"11",11,2006,8,"Massachusetts-South",0.322710664710876
"12",12,2006,11,"Rhode Island",0.381492845369111
"13",13,2006,5,"Connecticut",0.34300918531998
"14",14,2006,10,"New York",0.436026511704766
"15",15,2007,6,"Maine",0.376206104235081
"16",16,2007,9,"New Hampshire",0.386435692942571
"17",17,2007,7,"Massachusetts-North",0.291694800784018
"18",18,2007,8,"Massachusetts-South",0.309210664710875
"19",19,2007,11,"Rhode Island",0.35674284536911
"20",20,2007,5,"Connecticut",0.36750918531998
"21",21,2007,10,"New York",0.407776511704766
"22",22,2008,6,"Maine",0.356206104235081
"23",23,2008,9,"New Hampshire",0.47768569294257
"24",24,2008,7,"Massachusetts-North",0.347694800784018
"25",25,2008,8,"Massachusetts-South",0.365210664710875
"26",26,2008,11,"Rhode Island",0.354492845369111
"27",27,2008,5,"Connecticut",0.30300918531998
"28",28,2008,10,"New York",0.456276511704766
"29",29,2009,6,"Maine",0.414956104235081
"30",30,2009,9,"New Hampshire",0.38468569294257
"31",31,2009,7,"Massachusetts-North",0.274944800784018
"32",32,2009,8,"Massachusetts-South",0.292460664710876
"33",33,2009,11,"Rhode Island",0.35199284536911
"34",34,2009,5,"Connecticut",0.31175918531998
"35",35,2009,10,"New York",0.365276511704766
"36",36,2010,6,"Maine",0.595767425551594
"37",37,2010,9,"New Hampshire",0.416390958998235
"38",38,2010,7,"Massachusetts-North",0.422246008331719
"39",39,2010,8,"Massachusetts-South",0.438441437092295
"40",40,2010,11,"Rhode Island",0.325498271176548
"41",41,2010,5,"Connecticut",0.406435014803984
"42",42,2010,10,"New York",0.354169132729297
"43",43,2011,5,"Connecticut",0.310673412738289
"44",44,2011,6,"Maine",0.448151984668299
"45",45,2011,7,"Massachusetts-North",0.342682334151949
"46",46,2011,9,"New Hampshire",0.385203809090712
"47",47,2011,10,"New York",0.359783012659305
"48",48,2011,11,"Rhode Island",0.323871367858321
"49",49,2011,8,"Massachusetts-South",0.360095641387756
"50",50,2012,5,"Connecticut",0.333309975122018
"51",51,2012,6,"Maine",0.417294085273679
"52",52,2012,7,"Massachusetts-North",0.31369176432161
