"","year","rgn_id","rgn_name","score"
"133",2015,1,"Offshore",0.604355573146629
"134",2015,11,"Rhode Island",0.609468480170898
"135",2016,5,"Connecticut",0.687138195494693
"136",2016,2,"Georges Bank",0.767629625278577
"137",2016,3,"Gulf of Maine",0.685686496503346
"138",2016,6,"Maine",0.686245461005168
"139",2016,7,"Massachusetts-North",0.691270384654359
"140",2016,8,"Massachusetts-South",0.686573122558365
"141",2016,4,"Mid-Atlantic Bight",0.698404238653097
"142",2016,9,"New Hampshire",0.733217068457076
"143",2016,10,"New York",0.694795075499881
"144",2016,1,"Offshore",0.789032720252995
"145",2016,11,"Rhode Island",0.685620672360372
"146",2017,5,"Connecticut",0.624134220298344
"147",2017,2,"Georges Bank",0.701317646630371
"148",2017,3,"Gulf of Maine",0.622968475411128
"149",2017,6,"Maine",0.623613501716226
"150",2017,7,"Massachusetts-North",0.628553147779878
"151",2017,8,"Massachusetts-South",0.622995397249404
"152",2017,4,"Mid-Atlantic Bight",0.632492320035973
"153",2017,9,"New Hampshire",0.670587110021856
"154",2017,10,"New York",0.632038328691948
"155",2017,1,"Offshore",0.721540903787608
"156",2017,11,"Rhode Island",0.622635486813023
