"","rgn_name","rgn_id","percent_hard","year"
"1","Connecticut",5,0.253316684021382,2017
"2","Maine",6,0.0403069150158601,2017
"3","New Hampshire",9,0.0951659112079422,2017
"4","New York",10,0.333254865020066,2017
"5","Rhode Island",11,0.239422326290273,2017
"6","Massachusetts-North",7,0.119645919825845,2017
"7","Massachusetts-South",8,0.142750673980429,2017
"8","Northeast",12,0.151821008877274,2017
