"sciname","score","year"
"alosa sapidissima",0.025,2017
"anchoa hepsetus",NA,2017
"anchoa lyolepis",NA,2017
"anchoa mitchilli",0,2017
"brevoortia tyrannus",0.025,2017
"clupea harengus",0.025,2017
"engraulis eurystole",NA,2017
"etrumeus sadina",NA,2017
"harengula jaguana",NA,2017
"opisthonema oglinum",NA,2017
"sardinella aurita",NA,2017
"hypsoblennius hentz",NA,2017
"astrangia poculata",NA,2017
"coryphaena equiselis",0,2017
"coryphaena hippurus",0,2017
"cyprinodon variegatus",0,2017
"fundulus heteroclitus",0,2017
"fundulus majalis",NA,2017
"lucania parva",0,2017
"echeneis naucrates",0,2017
"echeneis neucratoides",NA,2017
"phtheirichthys lineatus",0,2017
"remora albescens",NA,2017
"remora australis",0,2017
"remora brachyptera",0,2017
"remora osteochir",0,2017
"remora remora",0,2017
"chaetodipterus faber",NA,2017
"epigonus denticulatus",NA,2017
"epigonus pandionis",NA,2017
"enchelyopus cimbrius",NA,2017
"coelorinchus caelorhincus",NA,2017
"coryphaenoides armatus",NA,2017
"coryphaenoides guentheri",NA,2017
"coryphaenoides leptolepis",NA,2017
"coryphaenoides mediterraneus",NA,2017
"coryphaenoides rupestris",NA,2017
"hymenocephalus italicus",NA,2017
"malacocephalus occidentalis",NA,2017
"nezumia aequalis",NA,2017
"nezumia sclerorhynchus",NA,2017
"melanonus zugmayeri",NA,2017
"merluccius albidus",NA,2017
"merluccius bilinearis",NA,2017
"antimora rostrata",NA,2017
"gadella imberbis",NA,2017
"physiculus fulvus",NA,2017
"urophycis regia",NA,2017
"fistularia petimba",NA,2017
"fistularia tabacaria",NA,2017
"gasterosteus wheatlandi",0,2017
"diplospinus multistriatus",NA,2017
"gempylus serpens",0,2017
"lepidocybium flavobrunneum",NA,2017
"nealotus tripes",0,2017
"nesiarchus nasutus",0,2017
"promethichthys prometheus",0,2017
"ruvettus pretiosus",0,2017
"gobiesox strumosus",NA,2017
"gobiosoma bosc",NA,2017
"gobiosoma ginsburgi",NA,2017
"orthopristis chrysoptera",NA,2017
"kyphosus sectatrix",0,2017
"lampris guttatus",NA,2017
"regalecus glesne",NA,2017
"stylephorus chordatus",NA,2017
"desmodema polystictum",NA,2017
"zu cristatus",NA,2017
"homarus americanus",0,2017
"stereomastis sculpta",0,2017
"nephropsis aculeata",NA,2017
"panulirus argus",-0.025,2017
"stereomastis nana",0,2017
"cardus crucifer",NA,2017
"polycheles typhlops",0,2017
"fowlerichthys radiosus",NA,2017
"histrio histrio",0,2017
"caulophryne jordani",NA,2017
