"","year","rgn_name","rgn_id","score"
"122",2009,"Georges Bank",2,NA
"123",2010,"Georges Bank",2,NA
"124",2011,"Georges Bank",2,NA
"125",2012,"Georges Bank",2,NA
"126",2013,"Georges Bank",2,NA
"127",2014,"Georges Bank",2,NA
"128",2015,"Georges Bank",2,NA
"129",2016,"Georges Bank",2,NA
"130",2017,"Georges Bank",2,NA
"131",2005,"Mid-Atlantic Bight",4,NA
"132",2006,"Mid-Atlantic Bight",4,NA
"133",2007,"Mid-Atlantic Bight",4,NA
"134",2008,"Mid-Atlantic Bight",4,NA
"135",2009,"Mid-Atlantic Bight",4,NA
"136",2010,"Mid-Atlantic Bight",4,NA
"137",2011,"Mid-Atlantic Bight",4,NA
"138",2012,"Mid-Atlantic Bight",4,NA
"139",2013,"Mid-Atlantic Bight",4,NA
"140",2014,"Mid-Atlantic Bight",4,NA
"141",2015,"Mid-Atlantic Bight",4,NA
"142",2016,"Mid-Atlantic Bight",4,NA
"143",2017,"Mid-Atlantic Bight",4,NA
"144",2005,"Offshore",1,NA
"145",2006,"Offshore",1,NA
"146",2007,"Offshore",1,NA
"147",2008,"Offshore",1,NA
"148",2009,"Offshore",1,NA
"149",2010,"Offshore",1,NA
"150",2011,"Offshore",1,NA
"151",2012,"Offshore",1,NA
"152",2013,"Offshore",1,NA
"153",2014,"Offshore",1,NA
"154",2015,"Offshore",1,NA
"155",2016,"Offshore",1,NA
"156",2017,"Offshore",1,NA
