scenario_year,layer_name,data_year
2005,fp_mpa_coast,2012
2006,fp_mpa_coast,2012
2007,fp_mpa_coast,2012
2008,fp_mpa_coast,2012
2009,fp_mpa_coast,2012
2010,fp_mpa_coast,2012
2011,fp_mpa_coast,2012
2012,fp_mpa_coast,2012
2013,fp_mpa_coast,2013
2014,fp_mpa_coast,2014
2015,fp_mpa_coast,2015
2016,fp_mpa_coast,2016
2017,fp_mpa_coast,2017
2005,fp_mpa_eez,2012
2006,fp_mpa_eez,2012
2007,fp_mpa_eez,2012
2008,fp_mpa_eez,2012
2009,fp_mpa_eez,2012
2010,fp_mpa_eez,2012
2011,fp_mpa_eez,2012
2012,fp_mpa_eez,2012
2013,fp_mpa_eez,2013
2014,fp_mpa_eez,2014
2015,fp_mpa_eez,2015
2016,fp_mpa_eez,2016
2017,fp_mpa_eez,2017
2005,fp_targetharvest,2012
2006,fp_targetharvest,2012
2007,fp_targetharvest,2012
2008,fp_targetharvest,2012
2009,fp_targetharvest,2012
2010,fp_targetharvest,2012
2011,fp_targetharvest,2012
2012,fp_targetharvest,2012
2013,fp_targetharvest,2013
2014,fp_targetharvest,2014
2015,fp_targetharvest,2015
2016,fp_targetharvest,2016
2017,fp_targetharvest,2016
2005,fp_wildcaught_weight,2012
2006,fp_wildcaught_weight,2012
2007,fp_wildcaught_weight,2012
2008,fp_wildcaught_weight,2012
2009,fp_wildcaught_weight,2012
2010,fp_wildcaught_weight,2012
2011,fp_wildcaught_weight,2012
2012,fp_wildcaught_weight,2012
2013,fp_wildcaught_weight,2013
2014,fp_wildcaught_weight,2014
2015,fp_wildcaught_weight,2015
2016,fp_wildcaught_weight,2016
2017,fp_wildcaught_weight,2016
2005,g_cites,2012
2006,g_cites,2012
2007,g_cites,2012
2008,g_cites,2012
2009,g_cites,2012
2010,g_cites,2012
2011,g_cites,2012
2012,g_cites,2012
2013,g_cites,2013
2014,g_cites,2014
2015,g_cites,2015
2016,g_cites,2015
2017,g_cites,2015
2005,hab_salt_marsh,2005
2006,hab_salt_marsh,2006
2007,hab_salt_marsh,2007
2008,hab_salt_marsh,2008
2009,hab_salt_marsh,2009
2010,hab_salt_marsh,2010
2011,hab_salt_marsh,2011
2012,hab_salt_marsh,2012
2013,hab_salt_marsh,2013
2014,hab_salt_marsh,2014
2015,hab_salt_marsh,2015
2016,hab_salt_marsh,2016
2017,hab_salt_marsh,2017
2005,hab_eelgrass,2006
2006,hab_eelgrass,2006
2007,hab_eelgrass,2007
2008,hab_eelgrass,2008
2009,hab_eelgrass,2009
2010,hab_eelgrass,2010
2011,hab_eelgrass,2011
2012,hab_eelgrass,2012
2013,hab_eelgrass,2013
2014,hab_eelgrass,2014
2015,hab_eelgrass,2015
2016,hab_eelgrass,2016
2017,hab_eelgrass,2017
2005,hab_sasi,2005
2006,hab_sasi,2006
2007,hab_sasi,2007
2008,hab_sasi,2008
2009,hab_sasi,2009
2010,hab_sasi,2010
2011,hab_sasi,2011
2012,hab_sasi,2012
2013,hab_sasi,2013
2014,hab_sasi,2014
2015,hab_sasi,2015
2016,hab_sasi,2016
2017,hab_sasi,2017
2005,hd_intertidal,2012
2006,hd_intertidal,2012
2007,hd_intertidal,2012
2008,hd_intertidal,2012
2009,hd_intertidal,2012
2010,hd_intertidal,2012
2011,hd_intertidal,2012
2012,hd_intertidal,2012
2013,hd_intertidal,2013
2014,hd_intertidal,2014
2015,hd_intertidal,2015
2016,hd_intertidal,2016
2017,hd_intertidal,2017
2005,hd_mpa_coast,2012
2006,hd_mpa_coast,2012
2007,hd_mpa_coast,2012
2008,hd_mpa_coast,2012
2009,hd_mpa_coast,2012
2010,hd_mpa_coast,2012
2011,hd_mpa_coast,2012
2012,hd_mpa_coast,2012
2013,hd_mpa_coast,2013
2014,hd_mpa_coast,2014
2015,hd_mpa_coast,2015
2016,hd_mpa_coast,2016
2017,hd_mpa_coast,2017
2005,hd_mpa_eez,2012
2006,hd_mpa_eez,2012
2007,hd_mpa_eez,2012
2008,hd_mpa_eez,2012
2009,hd_mpa_eez,2012
2010,hd_mpa_eez,2012
2011,hd_mpa_eez,2012
2012,hd_mpa_eez,2012
2013,hd_mpa_eez,2013
2014,hd_mpa_eez,2014
2015,hd_mpa_eez,2015
2016,hd_mpa_eez,2016
2017,hd_mpa_eez,2017
2005,hd_subtidal_hb,2012
2006,hd_subtidal_hb,2012
2007,hd_subtidal_hb,2012
