"","year","rgn_id","score","rgn_name"
"71",2010,"10",0.278548344733867,"New York"
"72",2011,"10",0.280306223402814,"New York"
"73",2012,"10",0.277594917431436,"New York"
"74",2013,"10",0.275267488426512,"New York"
"75",2014,"10",0.266829091440209,"New York"
"76",2015,"10",0.266055529839569,"New York"
"77",2016,"10",0.268584683010748,"New York"
"78",2017,"10",0.279792256665147,"New York"
"79",2005,"11",0.200568996368178,"Rhode Island"
"80",2006,"11",0.200651135073048,"Rhode Island"
"81",2007,"11",0.200549746812688,"Rhode Island"
"82",2008,"11",0.20044379717907,"Rhode Island"
"83",2009,"11",0.200324197815745,"Rhode Island"
"84",2010,"11",0.200346778316713,"Rhode Island"
"85",2011,"11",0.200375424744124,"Rhode Island"
"86",2012,"11",0.200386899120485,"Rhode Island"
"87",2013,"11",0.200283341049813,"Rhode Island"
"88",2014,"11",0.200215032315076,"Rhode Island"
"89",2015,"11",0.200140575611583,"Rhode Island"
"90",2016,"11",0.200163737028818,"Rhode Island"
"91",2017,"11",0.200180436091815,"Rhode Island"
"92",2005,NA,NA,"Gulf of Maine"
"93",2006,NA,NA,"Gulf of Maine"
"94",2007,NA,NA,"Gulf of Maine"
"95",2008,NA,NA,"Gulf of Maine"
"96",2009,NA,NA,"Gulf of Maine"
"97",2010,NA,NA,"Gulf of Maine"
"98",2011,NA,NA,"Gulf of Maine"
"99",2012,NA,NA,"Gulf of Maine"
"100",2013,NA,NA,"Gulf of Maine"
"101",2014,NA,NA,"Gulf of Maine"
"102",2015,NA,NA,"Gulf of Maine"
"103",2016,NA,NA,"Gulf of Maine"
"104",2017,NA,NA,"Gulf of Maine"
"105",2005,NA,NA,"Georges Bank"
"106",2006,NA,NA,"Georges Bank"
"107",2007,NA,NA,"Georges Bank"
"108",2008,NA,NA,"Georges Bank"
"109",2009,NA,NA,"Georges Bank"
"110",2010,NA,NA,"Georges Bank"
"111",2011,NA,NA,"Georges Bank"
"112",2012,NA,NA,"Georges Bank"
"113",2013,NA,NA,"Georges Bank"
"114",2014,NA,NA,"Georges Bank"
"115",2015,NA,NA,"Georges Bank"
"116",2016,NA,NA,"Georges Bank"
"117",2017,NA,NA,"Georges Bank"
"118",2005,NA,NA,"Mid-Atlantic Bight"
"119",2006,NA,NA,"Mid-Atlantic Bight"
"120",2007,NA,NA,"Mid-Atlantic Bight"
"121",2008,NA,NA,"Mid-Atlantic Bight"
"122",2009,NA,NA,"Mid-Atlantic Bight"
