"","year","rgn_id","rgn_name","score"
"123",2010,4,"Mid-Atlantic Bight",NA
"124",2011,4,"Mid-Atlantic Bight",NA
"125",2012,4,"Mid-Atlantic Bight",NA
"126",2013,4,"Mid-Atlantic Bight",NA
"127",2014,4,"Mid-Atlantic Bight",NA
"128",2015,4,"Mid-Atlantic Bight",NA
"129",2016,4,"Mid-Atlantic Bight",NA
"130",2017,4,"Mid-Atlantic Bight",NA
"131",2005,1,"Offshore",NA
"132",2006,1,"Offshore",NA
"133",2007,1,"Offshore",NA
"134",2008,1,"Offshore",NA
"135",2009,1,"Offshore",NA
"136",2010,1,"Offshore",NA
"137",2011,1,"Offshore",NA
"138",2012,1,"Offshore",NA
"139",2013,1,"Offshore",NA
"140",2014,1,"Offshore",NA
"141",2015,1,"Offshore",NA
"142",2016,1,"Offshore",NA
"143",2017,1,"Offshore",NA
