"","rgn_id","score","rgn_name","year"
"1",5,0.00709290324441158,"Connecticut",2017
"2",6,0.000857716777890896,"Maine",2017
"3",7,0.0222237230413196,"Massachusetts-North",2017
"4",8,0.00604915923251305,"Massachusetts-South",2017
"5",9,0.00431065720860049,"New Hampshire",2017
"6",10,0.033863238035181,"New York",2017
"7",11,0.00645735293042277,"Rhode Island",2017
"8",3,NA,"Gulf of Maine",2017
"9",2,NA,"Georges Bank",2017
"10",4,NA,"Mid-Atlantic Bight",2017
"11",1,NA,"Offshore",2017
