rgn_id,year,pressure_score
1,2007,0.156394620820061
1,2008,0.155311629602953
1,2009,0.156918932432488
1,2010,0.156382524338917
1,2011,0.15646301714501
1,2012,0.156886484340643
1,2013,0.158754371849486
1,2014,0.160044501023152
2,2007,0.156394620820061
2,2008,0.155311629602953
2,2009,0.156918932432488
2,2010,0.156382524338917
2,2011,0.15646301714501
2,2012,0.156886484340643
2,2013,0.158754371849486
2,2014,0.160044501023152
3,2007,0.156394620820061
3,2008,0.155311629602953
3,2009,0.156918932432488
3,2010,0.156382524338917
3,2011,0.15646301714501
3,2012,0.156886484340643
3,2013,0.158754371849486
3,2014,0.160044501023152
4,2007,0.156394620820061
4,2008,0.155311629602953
4,2009,0.156918932432488
4,2010,0.156382524338917
4,2011,0.15646301714501
4,2012,0.156886484340643
4,2013,0.158754371849486
4,2014,0.160044501023152
5,2007,0.156394620820061
5,2008,0.155311629602953
5,2009,0.156918932432488
5,2010,0.156382524338917
5,2011,0.15646301714501
5,2012,0.156886484340643
5,2013,0.158754371849486
5,2014,0.160044501023152
6,2007,0.156394620820061
6,2008,0.155311629602953
6,2009,0.156918932432488
6,2010,0.156382524338917
6,2011,0.15646301714501
6,2012,0.156886484340643
6,2013,0.158754371849486
6,2014,0.160044501023152
7,2007,0.156394620820061
7,2008,0.155311629602953
7,2009,0.156918932432488
7,2010,0.156382524338917
7,2011,0.15646301714501
7,2012,0.156886484340643
7,2013,0.158754371849486
7,2014,0.160044501023152
8,2007,0.156394620820061
8,2008,0.155311629602953
8,2009,0.156918932432488
8,2010,0.156382524338917
8,2011,0.15646301714501
8,2012,0.156886484340643
8,2013,0.158754371849486
8,2014,0.160044501023152
9,2007,0.156394620820061
9,2008,0.155311629602953
9,2009,0.156918932432488
9,2010,0.156382524338917
9,2011,0.15646301714501
9,2012,0.156886484340643
9,2013,0.158754371849486
9,2014,0.160044501023152
10,2007,0.156394620820061
10,2008,0.155311629602953
10,2009,0.156918932432488
10,2010,0.156382524338917
10,2011,0.15646301714501
10,2012,0.156886484340643
10,2013,0.158754371849486
10,2014,0.160044501023152
11,2007,0.156394620820061
11,2008,0.155311629602953
11,2009,0.156918932432488
11,2010,0.156382524338917
11,2011,0.15646301714501
11,2012,0.156886484340643
11,2013,0.158754371849486
11,2014,0.160044501023152
