year,rgn_name,rgn_id,layer,mean_score,ref,score
2009,Connecticut,5,commercial,0.26704545454545453,0.4305555555555556,0.5638496400959744
2009,Maine,6,commercial,0.386,0.4305555555555556,0.8150146627565982
2009,Massachusetts-North,7,commercial,0.38114754098360654,0.4305555555555556,0.8047690014903128
2009,Massachusetts-South,8,commercial,0.3813559322033898,0.4305555555555556,0.8052090064118494
2009,New Hampshire,9,commercial,0.4027777777777778,0.4305555555555556,0.8504398826979471
2009,New York,10,commercial,0.2627906976744186,0.4305555555555556,0.5548659892245789
2009,Rhode Island,11,commercial,0.35526315789473684,0.4305555555555556,0.7501157586047229
2010,Connecticut,5,commercial,0.26704545454545453,0.4305555555555556,0.5638496400959744
2010,Maine,6,commercial,0.39285714285714285,0.4305555555555556,0.8294930875576036
2010,Massachusetts-North,7,commercial,0.38114754098360654,0.4305555555555556,0.8047690014903128
2010,Massachusetts-South,8,commercial,0.3813559322033898,0.4305555555555556,0.8052090064118494
2010,New Hampshire,9,commercial,0.4117647058823529,0.4305555555555556,0.8694152147662583
2010,New York,10,commercial,0.2661290322580645,0.4305555555555556,0.5619146722164411
2010,Rhode Island,11,commercial,0.3815789473684211,0.4305555555555556,0.8056798888717395
2011,Connecticut,5,commercial,0.2727272727272727,0.4305555555555556,0.5758464409490801
2011,Maine,6,commercial,0.38492063492063494,0.4305555555555556,0.8127356514453289
2011,Massachusetts-North,7,commercial,0.39344262295081966,0.4305555555555556,0.8307292918609681
2011,Massachusetts-South,8,commercial,0.3813559322033898,0.4305555555555556,0.8052090064118494
2011,New Hampshire,9,commercial,0.4117647058823529,0.4305555555555556,0.8694152147662583
2011,New York,10,commercial,0.2661290322580645,0.4305555555555556,0.5619146722164411
2011,Rhode Island,11,commercial,0.3684210526315789,0.4305555555555556,0.7778978237382311
2012,Connecticut,5,commercial,0.2722222222222222,0.4305555555555556,0.5747800586510263
2012,Maine,6,commercial,0.3888888888888889,0.4305555555555556,0.8211143695014662
2012,Massachusetts-North,7,commercial,0.4016393442622951,0.4305555555555556,0.8480361521080717
2012,Massachusetts-South,8,commercial,0.4025423728813559,0.4305555555555556,0.8499428401013965
2012,New Hampshire,9,commercial,0.4166666666666667,0.4305555555555556,0.8797653958944281
2012,New York,10,commercial,0.2636986301369863,0.4305555555555556,0.5567830313742819
2012,Rhode Island,11,commercial,0.3815789473684211,0.4305555555555556,0.8056798888717395
2013,Connecticut,5,commercial,0.26666666666666666,0.4305555555555556,0.563049853372434
2013,Maine,6,commercial,0.4074803149606299,0.4305555555555556,0.8603689934652596
2013,Massachusetts-North,7,commercial,0.4098360655737705,0.4305555555555556,0.8653430123551752
2013,Massachusetts-South,8,commercial,0.423728813559322,0.4305555555555556,0.8946766737909437
2013,New Hampshire,9,commercial,0.4166666666666667,0.4305555555555556,0.8797653958944281
2013,New York,10,commercial,0.2659817351598174,0.4305555555555556,0.5616036636805528
2013,Rhode Island,11,commercial,0.3684210526315789,0.4305555555555556,0.7778978237382311
2014,Connecticut,5,commercial,0.26666666666666666,0.4305555555555556,0.563049853372434
2014,Maine,6,commercial,0.39173228346456695,0.4305555555555556,0.8271180178723994
2014,Massachusetts-North,7,commercial,0.38114754098360654,0.4305555555555556,0.8047690014903128
2014,Massachusetts-South,8,commercial,0.3855932203389831,0.4305555555555556,0.814155773149759
2014,New Hampshire,9,commercial,0.4027777777777778,0.4305555555555556,0.8504398826979471
2014,New York,10,commercial,0.2636986301369863,0.4305555555555556,0.5567830313742819
2014,Rhode Island,11,commercial,0.35526315789473684,0.4305555555555556,0.7501157586047229
2015,Connecticut,5,commercial,0.26666666666666666,0.4305555555555556,0.563049853372434
2015,Maine,6,commercial,0.4094488188976378,0.4305555555555556,0.8645253654143671
2015,Massachusetts-North,7,commercial,0.4139344262295082,0.4305555555555556,0.873996442478727
2015,Massachusetts-South,8,commercial,0.4110169491525424,0.4305555555555556,0.8678363735772155
2015,New Hampshire,9,commercial,0.4166666666666667,0.4305555555555556,0.8797653958944281
2015,New York,10,commercial,0.2625570776255708,0.4305555555555556,0.5543727152211465
2015,Rhode Island,11,commercial,0.35526315789473684,0.4305555555555556,0.7501157586047229
2016,Connecticut,5,commercial,0.26666666666666666,0.4305555555555556,0.563049853372434
2016,Maine,6,commercial,0.4153543307086614,0.4305555555555556,0.8769944812616897
2016,Massachusetts-North,7,commercial,0.4057377049180328,0.4305555555555556,0.8566895822316234
2016,Massachusetts-South,8,commercial,0.4025423728813559,0.4305555555555556,0.8499428401013965
2016,New Hampshire,9,commercial,0.4305555555555556,0.4305555555555556,0.9090909090909091
2016,New York,10,commercial,0.2625570776255708,0.4305555555555556,0.5543727152211465
2016,Rhode Island,11,commercial,0.35526315789473684,0.4305555555555556,0.7501157586047229
