rgn_id,stock_id,year,bbmsy
1,Cyclopterus_lumpus-21,2008,0.35399632981533
1,Cyclopterus_lumpus-21,2009,0.369585334011216
1,Cyclopterus_lumpus-21,2010,0.386181262694147
1,Cyclopterus_lumpus-21,2011,0.403756678266711
1,Cyclopterus_lumpus-21,2012,0.42176979608071
1,Cyclopterus_lumpus-21,2013,0.438889421746428
1,Cyclopterus_lumpus-21,2014,0.456033721948091
1,Gadus_morhua-21,2001,0.176149932525451
1,Gadus_morhua-21,2002,0.162970892326658
1,Gadus_morhua-21,2003,0.130063175370431
1,Gadus_morhua-21,2004,0.109007605381637
1,Gadus_morhua-21,2005,0.091803556023788
1,Gadus_morhua-21,2006,0.0885511023820762
1,Gadus_morhua-21,2007,0.107767073481152
1,Gadus_morhua-21,2008,0.123070841257761
1,Gadus_morhua-21,2009,0.142539668156211
1,Gadus_morhua-21,2010,0.145887042675249
1,Gadus_morhua-21,2011,0.149034084350221
1,Gadus_morhua-21,2012,0.123037079161974
1,Gadus_morhua-21,2013,0.12192439578093
1,Gadus_morhua-21,2014,0.120811712399886
1,Caranx_hippos-31,2001,0.593419972095767
1,Caranx_hippos-31,2002,0.584294384362657
1,Caranx_hippos-31,2003,0.578434289416398
1,Caranx_hippos-31,2004,0.577990576663172
1,Caranx_hippos-31,2005,0.581116037129722
1,Caranx_hippos-31,2006,0.581506316339211
1,Caranx_hippos-31,2007,0.58536733755945
1,Caranx_hippos-31,2008,0.594871043687988
1,Caranx_hippos-31,2009,0.583479898589094
1,Caranx_hippos-31,2010,0.58184577458643
1,Caranx_hippos-31,2011,0.582222584661668
1,Caranx_hippos-31,2012,0.561362665586747
1,Caranx_hippos-31,2013,0.524562707105141
1,Caranx_hippos-31,2014,0.510322935570755
1,Istiophorus_albicans-21,2001,0.94
1,Istiophorus_albicans-21,2002,0.9
1,Istiophorus_albicans-21,2003,0.84
1,Istiophorus_albicans-21,2004,0.71
1,Istiophorus_albicans-21,2005,0.65
1,Istiophorus_albicans-21,2006,0.59
1,Istiophorus_albicans-21,2007,0.54
1,Istiophorus_albicans-21,2008,0.28
1,Istiophorus_albicans-21,2009,0.29392857142858
1,Istiophorus_albicans-21,2010,0.207857142857137
1,Istiophorus_albicans-21,2011,0.121785714285721
1,Istiophorus_albicans-21,2012,0.035714285714306
1,Istiophorus_albicans-21,2013,0.015
1,Istiophorus_albicans-21,2014,0.015
1,Istiophorus_albicans-31,2001,0.94
1,Istiophorus_albicans-31,2002,0.9
1,Istiophorus_albicans-31,2003,0.84
1,Istiophorus_albicans-31,2004,0.71
1,Istiophorus_albicans-31,2005,0.65
1,Istiophorus_albicans-31,2006,0.59
1,Istiophorus_albicans-31,2007,0.54
1,Istiophorus_albicans-31,2008,0.28
1,Istiophorus_albicans-31,2009,0.29392857142858
1,Istiophorus_albicans-31,2010,0.207857142857137
1,Istiophorus_albicans-31,2011,0.121785714285721
1,Istiophorus_albicans-31,2012,0.035714285714306
1,Istiophorus_albicans-31,2013,0.015
1,Istiophorus_albicans-31,2014,0.015
1,Chanos_chanos-77,2001,1.71452376587537
1,Chanos_chanos-77,2002,1.72291752708928
