"","rgn_name","score","rgn_id","year"
"1","Connecticut",0.253316684021382,"5",2017
"2","Maine",0.0403069150158601,"6",2017
"3","New Hampshire",0.0951659112079422,"9",2017
"4","New York",0.333254865020066,"10",2017
"5","Rhode Island",0.239422326290273,"11",2017
"6","Massachusetts-North",0.119645919825845,"7",2017
"7","Massachusetts-South",0.142750673980429,"8",2017
"8","Gulf of Maine",NA,"3",2017
"9","Georges Bank",NA,"2",2017
"10","Mid-Atlantic Bight",NA,"4",2017
"11","Offshore",NA,"1",2017
