rgn_id,year,pressure_score
1,2009,0
1,2010,0.0264817167271597
1,2011,0.113053526091507
1,2012,0.149391635987105
1,2013,0.187613518480077
1,2014,0.201928114489441
1,2015,0.238311983904865
1,2016,0.318428709596811
2,2009,0
2,2010,0.0264817167271597
2,2011,0.113053526091507
2,2012,0.149391635987105
2,2013,0.187613518480077
2,2014,0.201928114489441
2,2015,0.238311983904865
2,2016,0.318428709596811
3,2009,0
3,2010,0.0264817167271597
3,2011,0.113053526091507
3,2012,0.149391635987105
3,2013,0.187613518480077
3,2014,0.201928114489441
3,2015,0.238311983904865
3,2016,0.318428709596811
4,2009,0
4,2010,0.0264817167271597
4,2011,0.113053526091507
4,2012,0.149391635987105
4,2013,0.187613518480077
4,2014,0.201928114489441
4,2015,0.238311983904865
4,2016,0.318428709596811
5,2009,0
5,2010,0.0264817167271597
5,2011,0.113053526091507
5,2012,0.149391635987105
5,2013,0.187613518480077
5,2014,0.201928114489441
5,2015,0.238311983904865
5,2016,0.318428709596811
6,2009,0
6,2010,0.0264817167271597
6,2011,0.113053526091507
6,2012,0.149391635987105
6,2013,0.187613518480077
6,2014,0.201928114489441
6,2015,0.238311983904865
6,2016,0.318428709596811
7,2009,0
7,2010,0.0264817167271597
7,2011,0.113053526091507
7,2012,0.149391635987105
7,2013,0.187613518480077
7,2014,0.201928114489441
7,2015,0.238311983904865
7,2016,0.318428709596811
8,2009,0
8,2010,0.0264817167271597
8,2011,0.113053526091507
8,2012,0.149391635987105
8,2013,0.187613518480077
8,2014,0.201928114489441
8,2015,0.238311983904865
8,2016,0.318428709596811
9,2009,0
9,2010,0.0264817167271597
9,2011,0.113053526091507
9,2012,0.149391635987105
9,2013,0.187613518480077
9,2014,0.201928114489441
9,2015,0.238311983904865
9,2016,0.318428709596811
10,2009,0
10,2010,0.0264817167271597
10,2011,0.113053526091507
10,2012,0.149391635987105
10,2013,0.187613518480077
10,2014,0.201928114489441
10,2015,0.238311983904865
10,2016,0.318428709596811
11,2009,0
11,2010,0.0264817167271597
11,2011,0.113053526091507
11,2012,0.149391635987105
11,2013,0.187613518480077
11,2014,0.201928114489441
11,2015,0.238311983904865
11,2016,0.318428709596811
