rgn_id,year,pressure_score,rgn_name
1,2000,0.005257852712187182,Offshore
2,2000,0.24443200470457652,Georges Bank
3,2000,0.18525839434423835,Gulf of Maine
4,2000,0.2129261776947736,Mid-Atlantic Bight
5,2000,0.33912817447438953,Connecticut
6,2000,0.3746838159024464,Maine
7,2000,0.37178570479237694,Massachusetts-North
8,2000,0.3047558514853263,Massachusetts-South
9,2000,0.47053096860373783,New Hampshire
10,2000,0.3406484523573555,New York
11,2000,0.33908237083125875,Rhode Island
1,2001,0.005659661216122306,Offshore
2,2001,0.28774677503806406,Georges Bank
3,2001,0.17616224975856806,Gulf of Maine
4,2001,0.3460033357140711,Mid-Atlantic Bight
5,2001,0.3323111998753285,Connecticut
6,2001,0.3854711727712157,Maine
7,2001,0.40678796791292343,Massachusetts-North
8,2001,0.367140905474421,Massachusetts-South
9,2001,0.35117494226048845,New Hampshire
10,2001,0.3366192034744115,New York
11,2001,0.37034165795865065,Rhode Island
1,2002,0.0047240409658038844,Offshore
2,2002,0.2158463592412948,Georges Bank
3,2002,0.20706870564577817,Gulf of Maine
4,2002,0.3150032418035086,Mid-Atlantic Bight
5,2002,0.1814148056215736,Connecticut
6,2002,0.48156759732971083,Maine
7,2002,0.7167496684454568,Massachusetts-North
8,2002,0.6039836764816315,Massachusetts-South
9,2002,0.23190040250710392,New Hampshire
10,2002,0.2734236527699878,New York
11,2002,0.2850003516269529,Rhode Island
1,2003,0.007637899768041568,Offshore
2,2003,0.30980511990314014,Georges Bank
3,2003,0.20768116988488677,Gulf of Maine
4,2003,0.34407700589327933,Mid-Atlantic Bight
5,2003,0.30582612956289856,Connecticut
6,2003,0.28308150414399547,Maine
7,2003,0.4798494606620097,Massachusetts-North
8,2003,0.4600867635111989,Massachusetts-South
9,2003,0.3805673034912949,New Hampshire
10,2003,0.32742520061983615,New York
11,2003,0.3244047230833004,Rhode Island
1,2004,0.0046251546181685504,Offshore
2,2004,0.3586430280264786,Georges Bank
3,2004,0.21305630550050375,Gulf of Maine
4,2004,0.24337647276937108,Mid-Atlantic Bight
5,2004,0.2544899259906585,Connecticut
6,2004,0.4248510853479357,Maine
7,2004,0.38139093854675993,Massachusetts-North
8,2004,0.30123242580947085,Massachusetts-South
9,2004,0.45112898385306016,New Hampshire
10,2004,0.26349263648568555,New York
11,2004,0.22145372640131344,Rhode Island
1,2005,0.0021640411026529814,Offshore
2,2005,0.21510011642176718,Georges Bank
3,2005,0.13796104312378296,Gulf of Maine
4,2005,0.23457367205818072,Mid-Atlantic Bight
5,2005,0.24909645141031486,Connecticut
6,2005,0.29508323001149805,Maine
7,2005,0.2256838631776213,Massachusetts-North
8,2005,0.24339069397845742,Massachusetts-South
9,2005,0.2329272789829368,New Hampshire
10,2005,0.22990144889310798,New York
11,2005,0.22463083707667333,Rhode Island
1,2006,0.007411165231983416,Offshore
2,2006,0.30503688927735306,Georges Bank
3,2006,0.13390326134844446,Gulf of Maine
4,2006,0.3025385711111179,Mid-Atlantic Bight
5,2006,0.39876463308226406,Connecticut
6,2006,0.39517653066479824,Maine
7,2006,0.22198489469585642,Massachusetts-North
8,2006,0.25996740892278697,Massachusetts-South
9,2006,0.1467529498040676,New Hampshire
10,2006,0.37730342211280704,New York
11,2006,0.13598308955926147,Rhode Island
1,2007,0.0072839799250751834,Offshore
2,2007,0.1907170182027772,Georges Bank
3,2007,0.15537164790967814,Gulf of Maine
4,2007,0.3386076813540024,Mid-Atlantic Bight
5,2007,0.20853579956109286,Connecticut
6,2007,0.3547812513710031,Maine
7,2007,0.1872632133349053,Massachusetts-North
8,2007,0.22483435236074312,Massachusetts-South
9,2007,0.5891558049468819,New Hampshire
10,2007,0.16841025108958094,New York
11,2007,0.1269442794733328,Rhode Island
1,2008,0.0036844326374743776,Offshore
2,2008,0.3523642590030154,Georges Bank
3,2008,0.14024361422839315,Gulf of Maine
4,2008,0.18655850920962436,Mid-Atlantic Bight
5,2008,0.18406242089165165,Connecticut
6,2008,0.1991891740337412,Maine
7,2008,0.3212684472255114,Massachusetts-North
8,2008,0.20312359860705062,Massachusetts-South
9,2008,0.45800270810039767,New Hampshire
10,2008,0.16950873025150306,New York
11,2008,0.17350665555439906,Rhode Island
1,2009,0.003442985995162437,Offshore
2,2009,0.1503988449197764,Georges Bank
3,2009,0.1649896634414719,Gulf of Maine
4,2009,0.2770128097038197,Mid-Atlantic Bight
5,2009,0.1397441812984039,Connecticut
6,2009,0.42139137075131033,Maine
7,2009,0.29543404354273906,Massachusetts-North
8,2009,0.13539080818668323,Massachusetts-South
9,2009,0.19746266291775835,New Hampshire
10,2009,0.1661414180679831,New York
11,2009,0.18001841503033264,Rhode Island
1,2010,0.01415681792245026,Offshore
2,2010,0.3052726911851677,Georges Bank
3,2010,0.3108528232091769,Gulf of Maine
4,2010,0.2845616835618865,Mid-Atlantic Bight
5,2010,0.40547299307338364,Connecticut
6,2010,0.40449395151181594,Maine
7,2010,0.41256130854996537,Massachusetts-North
8,2010,0.19482278557648414,Massachusetts-South
9,2010,0.31367490973767886,New Hampshire
10,2010,0.365567951344393,New York
11,2010,0.6067941516564698,Rhode Island
1,2011,0.004784589243039291,Offshore
2,2011,0.4492854682188305,Georges Bank
3,2011,0.17451012050253084,Gulf of Maine
4,2011,0.27786113029151,Mid-Atlantic Bight
5,2011,0.3827002158197831,Connecticut
6,2011,0.23479203740582882,Maine
7,2011,0.37692610363279117,Massachusetts-North
8,2011,0.4483130074969557,Massachusetts-South
9,2011,0.40918225501108607,New Hampshire
10,2011,0.35455155855789067,New York
