"","X1","year","rgn_id","rgn_name","pressure_score"
"1",1,2005,5,"Connecticut",0.35175918531998
"2",2,2006,5,"Connecticut",0.34300918531998
"3",3,2007,5,"Connecticut",0.36750918531998
"4",4,2008,5,"Connecticut",0.30300918531998
"5",5,2009,5,"Connecticut",0.31175918531998
"6",6,2010,5,"Connecticut",0.406435014803984
"7",7,2011,5,"Connecticut",0.310673412738289
"8",8,2012,5,"Connecticut",0.333309975122018
"9",9,2013,5,"Connecticut",0.317876901040993
"10",10,2014,5,"Connecticut",0.365701666572403
"11",11,2015,5,"Connecticut",0.343722188011193
"12",12,2016,5,"Connecticut",0.358473359776826
"13",13,2017,5,"Connecticut",0.368723359776826
"14",14,2005,6,"Maine",0.425956104235081
"15",15,2006,6,"Maine",0.407956104235081
"16",16,2007,6,"Maine",0.376206104235081
"17",17,2008,6,"Maine",0.356206104235081
"18",18,2009,6,"Maine",0.414956104235081
"19",19,2010,6,"Maine",0.595767425551594
"20",20,2011,6,"Maine",0.448151984668299
"21",21,2012,6,"Maine",0.417294085273679
"22",22,2013,6,"Maine",0.388485413883384
"23",23,2014,6,"Maine",0.476290865988728
"24",24,2015,6,"Maine",0.41343613244502
"25",25,2016,6,"Maine",0.420803760454773
"26",26,2017,6,"Maine",0.479553760454773
"27",27,2005,7,"Massachusetts-North",0.284444800784018
"28",28,2006,7,"Massachusetts-North",0.305194800784018
"29",29,2007,7,"Massachusetts-North",0.291694800784018
"30",30,2008,7,"Massachusetts-North",0.347694800784018
"31",31,2009,7,"Massachusetts-North",0.274944800784018
"32",32,2010,7,"Massachusetts-North",0.422246008331719
"33",33,2011,7,"Massachusetts-North",0.342682334151949
"34",34,2012,7,"Massachusetts-North",0.31369176432161
"35",35,2013,7,"Massachusetts-North",0.260346322323386
"36",36,2014,7,"Massachusetts-North",0.286156683268303
"37",37,2015,7,"Massachusetts-North",0.28274105030485
"38",38,2016,7,"Massachusetts-North",0.295215390421123
"39",39,2017,7,"Massachusetts-North",0.302215390421123
"40",40,2005,8,"Massachusetts-South",0.301960664710875
"41",41,2006,8,"Massachusetts-South",0.322710664710876
"42",42,2007,8,"Massachusetts-South",0.309210664710875
"43",43,2008,8,"Massachusetts-South",0.365210664710875
"44",44,2009,8,"Massachusetts-South",0.292460664710876
"45",45,2010,8,"Massachusetts-South",0.438441437092295
