region_id,year,total_production,total_catch,w_fis,w_mar
5,2005,14268208.783870893,2143445.543872025,0.13060508715740246,0.8693949128425975
5,2006,10728438.89017057,2438301.7896565567,0.18518643671567855,0.8148135632843214
5,2007,13547432.84100646,2529704.3125319537,0.1573479338002159,0.84265206619978406
5,2008,16950622.78059758,2175150.536955345,0.11372876279774123,0.8862712372022588
5,2009,20103066.72315923,1772228.6897953756,0.08101507460081463,0.9189849253991854
5,2010,21354924.692720365,1618881.034925576,0.07046638480874183,0.9295336151912582
5,2011,21861424.007890906,1260139.277549584,0.05450060889019066,0.9454993911098093
5,2012,21942636.66598691,1285109.3594669846,0.05532647713896606,0.9446735228610339
5,2013,21748099.667543206,1271243.7656592543,0.055225022787819725,0.9447749772121803
5,2014,21553562.669099502,1668692.9727998797,0.07185748871824042,0.9281425112817596
5,2015,21359025.6706558,2267529.096253344,0.0959737515107026,0.9040262484892974
5,2016,21164488.672212094,2645318.7550984663,0.11110206427222954,0.8888979357277704
5,2017,20614440.34327915,2034799.3777229942,0.08983963271121058,0.9101603672887895
6,2005,17880677,27868781.17793663,0.6091609013060787,0.3908390986939213
6,2006,17222900.333333332,27153239.759176165,0.6118882738014323,0.3881117261985677
6,2007,14221973,26026547.9336325,0.6466460712071578,0.3533539287928422
6,2008,17284292.333333336,25286075.162519578,0.593983013301045,0.40601698669895503
6,2009,18101437,22076254.076030694,0.5494654741173267,0.4505345258826733
6,2010,23362294.333333336,17841758.884020273,0.43300980099952857,0.5669901990004714
6,2011,24329887.666666668,16293868.345795637,0.40109211813888174,0.5989078818611182
6,2012,27868121.666666668,15057634.50979412,0.3507832092204652,0.6492167907795348
6,2013,28414418.666666668,16170821.730315609,0.36269450576765583,0.6373054942323442
6,2014,29774854,15504954.901724206,0.3424253608352529,0.6575746391647471
6,2015,31714712.666666668,15636670.550846566,0.33022626771044855,0.6697737322895514
6,2016,33183784,15846522.81943328,0.3231985244920489,0.6768014755079511
6,2017,34458935,14320081.625279456,0.2935705271651203,0.7064294728348797
7,2005,4699079.906018402,17953485.969253093,0.7925586032111215,0.20744139678887852
7,2006,4699079.906018402,17474157.7789688,0.7880742554254943,0.21192574457450575
7,2007,4699079.906018402,15458960.399859307,0.7668880588234445,0.23311194117655554
7,2008,4699079.906018402,13890495.822505958,0.7472196259537003,0.2527803740462997
7,2009,4699079.906018402,13982554.011009863,0.7484652612887783,0.2515347387112217
7,2010,5165589.913323603,15862770.706866473,0.7543512779420409,0.24564872205795907
7,2011,5478429.910156602,13815909.479848454,0.7160602496194006,0.2839397503805994
7,2012,6652719.150868292,12611204.564156448,0.654653992131439,0.34534600786856096
7,2013,8763077.637056071,9592886.081271777,0.5226032382976211,0.4773967617023789
7,2014,11496665.37188694,9721893.276737133,0.458178778197432,0.541821221802568
7,2015,13612822.480618607,9222574.24469094,0.4038718641778238,0.5961281358221762
7,2016,15577197.324242793,10153578.052799448,0.3946083203485104,0.6053916796514895
7,2017,17949426.409611728,10689029.036708262,0.3732404164304116,0.6267595835695884
8,2005,4699079.906018402,3320504.2699769586,0.4140494316296431,0.585950568370357
8,2006,4699079.906018402,4020736.2630583514,0.4611033289115845,0.5388966710884155
8,2007,4699079.906018402,4397808.294439,0.4834409522827678,0.5165590477172322
8,2008,4699079.906018402,4881285.933762929,0.5095093460308132,0.4904906539691868
8,2009,4699079.906018402,4745165.510535837,0.5024398775383714,0.4975601224616286
8,2010,5165589.913323603,4522507.80156571,0.46681071296537596,0.533189287034624
8,2011,5478429.910156602,3873640.448892025,0.41420138003389495,0.585798619966105
8,2012,6652719.150868292,4965636.841033709,0.42739582471864007,0.57260417528136
8,2013,8763077.637056071,6171718.106021557,0.413244225913313,0.586755774086687
8,2014,11496665.37188694,6637752.195024516,0.36603062494468724,0.6339693750553128
8,2015,13612822.480618607,5345144.93805998,0.2819471528785098,0.7180528471214902
8,2016,15577197.324242793,4972819.179862621,0.24198614044271777,0.7580138595572823
8,2017,17949426.409611728,4431601.876120459,0.19800707186209077,0.8019929281379092
9,2005,0,1257113.1383105577,1,0
9,2006,0,1378369.2650900485,1,0
9,2007,0,1221212.8051054669,1,0
9,2008,0,1042173.7231596996,1,0
9,2009,0,988212.9018098447,1,0
9,2010,0,969978.7708521929,1,0
9,2011,0,997608.4465263298,1,0
9,2012,0,765078.8146528327,1,0
9,2013,34460.176000551364,824199.332357246,0.9598674728863632,0.040132527113636796
9,2014,49806.00800079689,772468.9735591956,0.9394290120486135,0.06057098795138649
9,2015,62463.39733433275,855999.5840798073,0.9319913827793483,0.06800861722065166
9,2016,77099.59466790027,814183.5721506842,0.9134959600515002,0.08650403994849976
9,2017,101903.02933496378,763228.4199196892,0.8822109294226241,0.11778907057737587
10,2005,7603093.181286403,8953893.60483418,0.5407924594310883,0.45920754056891167
10,2006,7283193.187684404,9882479.81670438,0.5757117599862065,0.4242882400137935
10,2007,7795713.177434004,9963084.036329683,0.5610224564424862,0.43897754355751384
10,2008,8211659.8357668035,10117793.613218365,0.5519964706737368,0.4480035293262632
10,2009,8035939.839281203,9187798.386569709,0.5334381111749509,0.4665618888250491
10,2010,7005519.859889602,9470963.381300738,0.5748170433374902,0.4251829566625098
10,2011,5902879.881942403,7804641.199885301,0.5693692647485363,0.43063073525146367
10,2012,6041039.879179202,6710248.670879072,0.5262408300570067,0.4737591699429933
10,2013,8334939.833491603,5380530.065050707,0.3922964437129896,0.6077035562870103
10,2014,12026079.759668805,5513299.038234288,0.31433832986681526,0.6856616701331848
