"","year","score","rgn_id","rgn_name"
"133",2010,NA,"4","Mid-Atlantic Bight"
"134",2011,NA,"4","Mid-Atlantic Bight"
"135",2012,NA,"4","Mid-Atlantic Bight"
"136",2013,NA,"4","Mid-Atlantic Bight"
"137",2014,NA,"4","Mid-Atlantic Bight"
"138",2015,NA,"4","Mid-Atlantic Bight"
"139",2016,NA,"4","Mid-Atlantic Bight"
"140",2017,NA,"4","Mid-Atlantic Bight"
"141",2005,NA,"1","Offshore"
"142",2006,NA,"1","Offshore"
"143",2007,NA,"1","Offshore"
"144",2008,NA,"1","Offshore"
"145",2009,NA,"1","Offshore"
"146",2010,NA,"1","Offshore"
"147",2011,NA,"1","Offshore"
"148",2012,NA,"1","Offshore"
"149",2013,NA,"1","Offshore"
"150",2014,NA,"1","Offshore"
"151",2015,NA,"1","Offshore"
"152",2016,NA,"1","Offshore"
"153",2017,NA,"1","Offshore"
"154",2008,0,"11","Rhode Island"
"155",2012,0,"11","Rhode Island"
"156",2013,0,"11","Rhode Island"
