region_id,year,pressure_score
1,2000,8.158999105802135e-4
2,2000,0.03614296820831823
3,2000,0.027687138831235015
4,2000,0.03252719287030855
5,2000,0.054888681760375584
6,2000,0.05809341919922292
7,2000,0.0581360466443771
8,2000,0.04859300967283693
9,2000,0.07539326157591758
10,2000,0.05485656794437404
11,2000,0.054753302304852425
1,2001,8.133191427672364e-4
2,2001,0.041909325355710986
3,2001,0.026242421299772636
4,2001,0.051473450848351546
5,2001,0.05369394658783602
6,2001,0.05971307430491961
7,2001,0.06525510181379399
8,2001,0.05886175936260385
9,2001,0.056000791404635535
10,2001,0.054171870877200524
11,2001,0.059857804963299704
1,2002,6.775455695716842e-4
2,2002,0.031968127861190215
3,2002,0.030870384907129574
4,2002,0.04712310341640411
5,2002,0.02888635651323348
6,2002,0.07573707910561234
7,2002,0.11234700835501589
8,2002,0.09676425496043133
9,2002,0.03611581899875074
10,2002,0.04349813252141787
11,2002,0.04586575603842102
1,2003,0.0011382152646364576
2,2003,0.045183182572562514
3,2003,0.03089322444475458
4,2003,0.05129773408869075
5,2003,0.049364445938819196
6,2003,0.044063339826307335
7,2003,0.07344853742919734
8,2003,0.07367835793288903
9,2003,0.0603469565271511
10,2003,0.05284283983574501
11,2003,0.052147166800433166
1,2004,6.723096629581069e-4
2,2004,0.052464607423953626
3,2004,0.03181674401476385
4,2004,0.03593226795583768
5,2004,0.04110144378539184
6,2004,0.06560130690224039
7,2004,0.05933067034742999
8,2004,0.048332175205959345
9,2004,0.07258122183655927
10,2004,0.04208718228998757
11,2004,0.0353398481528606
1,2005,3.206280329517214e-4
2,2005,0.0309411507764071
3,2005,0.02009095524530648
4,2005,0.03478176924210128
5,2005,0.04009404525605673
6,2005,0.0448311200864781
7,2005,0.0352093653864556
8,2005,0.03822376010227598
9,2005,0.03730825931175586
10,2005,0.036778769332123214
11,2005,0.0360197951089673
1,2006,0.0011344790396337547
2,2006,0.04398143997452192
3,2006,0.02033125499390136
4,2006,0.04539351179958031
5,2006,0.06449721625509851
6,2006,0.06081795810135795
7,2006,0.035151147642533874
8,2006,0.04145235551957454
9,2006,0.023332813823031723
10,2006,0.061000321016797414
11,2006,0.021645964676162453
1,2007,0.0010871148364046217
2,2007,0.029805086205685456
3,2007,0.02332531446644898
4,2007,0.05077293437386019
5,2007,0.03399127316013409
6,2007,0.056125339984266415
7,2007,0.028923569182978035
8,2007,0.0362314593114173
9,2007,0.09450097881052472
10,2007,0.027117913459206177
11,2007,0.020246117836502566
1,2008,5.370515844021878e-4
2,2008,0.06810409425530171
3,2008,0.02135777566642282
4,2008,0.028804551156954385
5,2008,0.029154907195801966
6,2008,0.03099082121281222
7,2008,0.05142006418151948
8,2008,0.031441068427302835
9,2008,0.07339399121701717
10,2008,0.026889839692032156
11,2008,0.028105313808391465
1,2009,5.081861236314739e-4
2,2009,0.02172575723542731
3,2009,0.03463570185609507
4,2009,0.04124474366492451
5,2009,0.022378219929560433
6,2009,0.11918156524253261
7,2009,0.04504120231248185
8,2009,0.02155114574877736
9,2009,0.031096189000874484
10,2009,0.026711905005925102
11,2009,0.027228796595702966
1,2010,0.0021793810360824133
2,2010,0.046846945974864204
3,2010,0.04628092855965471
4,2010,0.04235870422255601
5,2010,0.06507673721731179
6,2010,0.06302701927872731
7,2010,0.06190931188629299
8,2010,0.03134815903187195
9,2010,0.04987732592730894
10,2010,0.05926493632200489
11,2010,0.1099220714703178
1,2011,7.327945697758269e-4
2,2011,0.07456156046381482
3,2011,0.02628661866009545
4,2011,0.04463719741894618
5,2011,0.0619027449008752
6,2011,0.03754750328391095
7,2011,0.05771358430123801
8,2011,0.07160051504860607
9,2011,0.06397853555892585
10,2011,0.057105162791861785
11,2011,0.0889468902595591
1,2012,5.701679257838333e-4
2,2012,0.04510240879921864
3,2012,0.029098644551627983
4,2012,0.061464277891441606
5,2012,0.053872921279194005
6,2012,0.04646286343630841
7,2012,0.05786078071821121
8,2012,0.07658121472180182
9,2012,0.04976269927456838
10,2012,0.08749738362198825
11,2012,0.04802025691320539
1,2013,6.75945855500549e-4
2,2013,0.03170570128317985
3,2013,0.027010055894807466
4,2013,0.04310234098482908
5,2013,0.058548026518979335
6,2013,0.047297922328377935
7,2013,0.03891486613411296
8,2013,0.025575878003580813
9,2013,0.04873718261513688
10,2013,0.04567395632105868
11,2013,0.040534369454080225
1,2014,7.178802845759462e-4
2,2014,0.023141497632410486
3,2014,0.02631545488787455
4,2014,0.020218569754221167
5,2014,0.030597094074258303
6,2014,0.05208766290922166
7,2014,0.046250204320652105
8,2014,0.0222834958351997
9,2014,0.04481956788227646
10,2014,0.03748007389037297
11,2014,0.04168330986762476
1,2015,0.0015227028935145184
2,2015,0.03816229545969812
3,2015,0.02723192702172953
4,2015,0.03461569775366354
5,2015,0.032224822023717244
6,2015,0.05266124532373036
7,2015,0.07207460925414144
8,2015,0.04641541066680098
9,2015,0.20072211208966895
10,2015,0.03779262775320886
11,2015,0.05728283246715636
