rgn_id,year,w_fis
1,2005,0.971385412175732
1,2006,0.97295454816973
1,2007,0.971792816320293
1,2008,0.968162941501947
1,2009,0.964714254528115
1,2010,0.971584340826553
1,2011,0.970534635145504
1,2012,0.970447205415827
1,2013,0.97033363041771
1,2014,0.96932484273799
2,2005,0.971385412175732
2,2006,0.97295454816973
2,2007,0.971792816320293
2,2008,0.968162941501947
2,2009,0.964714254528115
2,2010,0.971584340826553
2,2011,0.970534635145504
2,2012,0.970447205415827
2,2013,0.97033363041771
2,2014,0.96932484273799
3,2005,0.971385412175732
3,2006,0.97295454816973
3,2007,0.971792816320293
3,2008,0.968162941501947
3,2009,0.964714254528115
3,2010,0.971584340826553
3,2011,0.970534635145504
3,2012,0.970447205415827
3,2013,0.97033363041771
3,2014,0.96932484273799
4,2005,0.971385412175732
4,2006,0.97295454816973
4,2007,0.971792816320293
4,2008,0.968162941501947
4,2009,0.964714254528115
4,2010,0.971584340826553
4,2011,0.970534635145504
4,2012,0.970447205415827
4,2013,0.97033363041771
4,2014,0.96932484273799
5,2005,0.971385412175732
5,2006,0.97295454816973
5,2007,0.971792816320293
5,2008,0.968162941501947
5,2009,0.964714254528115
5,2010,0.971584340826553
5,2011,0.970534635145504
5,2012,0.970447205415827
5,2013,0.97033363041771
5,2014,0.96932484273799
6,2005,0.971385412175732
6,2006,0.97295454816973
6,2007,0.971792816320293
6,2008,0.968162941501947
6,2009,0.964714254528115
6,2010,0.971584340826553
6,2011,0.970534635145504
6,2012,0.970447205415827
6,2013,0.97033363041771
6,2014,0.96932484273799
7,2005,0.971385412175732
7,2006,0.97295454816973
7,2007,0.971792816320293
7,2008,0.968162941501947
7,2009,0.964714254528115
7,2010,0.971584340826553
7,2011,0.970534635145504
7,2012,0.970447205415827
7,2013,0.97033363041771
7,2014,0.96932484273799
8,2005,0.971385412175732
8,2006,0.97295454816973
8,2007,0.971792816320293
8,2008,0.968162941501947
8,2009,0.964714254528115
8,2010,0.971584340826553
8,2011,0.970534635145504
8,2012,0.970447205415827
8,2013,0.97033363041771
8,2014,0.96932484273799
9,2005,0.971385412175732
9,2006,0.97295454816973
9,2007,0.971792816320293
9,2008,0.968162941501947
9,2009,0.964714254528115
9,2010,0.971584340826553
9,2011,0.970534635145504
9,2012,0.970447205415827
9,2013,0.97033363041771
9,2014,0.96932484273799
10,2005,0.971385412175732
10,2006,0.97295454816973
10,2007,0.971792816320293
10,2008,0.968162941501947
10,2009,0.964714254528115
10,2010,0.971584340826553
10,2011,0.970534635145504
10,2012,0.970447205415827
10,2013,0.97033363041771
10,2014,0.96932484273799
11,2005,0.971385412175732
11,2006,0.97295454816973
11,2007,0.971792816320293
11,2008,0.968162941501947
11,2009,0.964714254528115
11,2010,0.971584340826553
11,2011,0.970534635145504
11,2012,0.970447205415827
11,2013,0.97033363041771
11,2014,0.96932484273799
