rgn_id,sasi,year,score,rgn_name,state_abv,state_name
1,0.04270924851460261,2004,0.9572907514853974,Offshore,NA,NA
2,0.3289326695019524,2004,0.6710673304980477,Georges Bank,NA,NA
3,0.4069099413275032,2004,0.5930900586724968,Gulf of Maine,NA,NA
4,0.3609456078239722,2004,0.6390543921760278,Mid-Atlantic Bight,NA,NA
5,0.17375269594506831,2004,0.8262473040549316,Connecticut,CT,Connecticut
6,0.19811350511137377,2004,0.8018864948886262,Maine,ME,Maine
7,0.5394006253492534,2004,0.46059937465074663,Massachusetts-North,MA,Massachusetts
8,0.41489700088953785,2004,0.5851029991104622,Massachusetts-South,MA,Massachusetts
9,0.5227912772634176,2004,0.47720872273658244,New Hampshire,NH,New Hampshire
10,0.44652758270701987,2004,0.5534724172929801,New York,NY,New York
11,0.6238273781117177,2004,0.37617262188828227,Rhode Island,RI,Rhode Island
1,0.039712226507301024,2005,0.960287773492699,Offshore,NA,NA
2,0.33254909657197307,2005,0.6674509034280269,Georges Bank,NA,NA
3,0.40046065270628334,2005,0.5995393472937167,Gulf of Maine,NA,NA
4,0.35266588927801995,2005,0.6473341107219801,Mid-Atlantic Bight,NA,NA
5,0.16481035526124682,2005,0.8351896447387532,Connecticut,CT,Connecticut
6,0.1942650861844191,2005,0.8057349138155809,Maine,ME,Maine
7,0.5162115337967537,2005,0.48378846620324634,Massachusetts-North,MA,Massachusetts
8,0.40116888992280214,2005,0.5988311100771979,Massachusetts-South,MA,Massachusetts
9,0.5079404809954446,2005,0.49205951900455536,New Hampshire,NH,New Hampshire
10,0.4369439559319863,2005,0.5630560440680137,New York,NY,New York
11,0.612475053686814,2005,0.387524946313186,Rhode Island,RI,Rhode Island
1,0.03857217233619473,2006,0.9614278276638053,Offshore,NA,NA
2,0.34075990821616176,2006,0.6592400917838382,Georges Bank,NA,NA
3,0.38386286793087676,2006,0.6161371320691232,Gulf of Maine,NA,NA
4,0.36449108744057196,2006,0.635508912559428,Mid-Atlantic Bight,NA,NA
5,0.1642061967655521,2006,0.8357938032344479,Connecticut,CT,Connecticut
6,0.18239563654940724,2006,0.8176043634505927,Maine,ME,Maine
7,0.47011881902896246,2006,0.5298811809710375,Massachusetts-North,MA,Massachusetts
8,0.3889452892059049,2006,0.6110547107940951,Massachusetts-South,MA,Massachusetts
9,0.4522799240144271,2006,0.5477200759855729,New Hampshire,NH,New Hampshire
10,0.4300489288215124,2006,0.5699510711784876,New York,NY,New York
11,0.6205780556620649,2006,0.3794219443379351,Rhode Island,RI,Rhode Island
1,0.037965755294228916,2007,0.962034244705771,Offshore,NA,NA
2,0.341750769927808,2007,0.658249230072192,Georges Bank,NA,NA
3,0.361922264103488,2007,0.638077735896512,Gulf of Maine,NA,NA
4,0.3638822749396504,2007,0.6361177250603496,Mid-Atlantic Bight,NA,NA
5,0.16120389460036505,2007,0.8387961053996349,Connecticut,CT,Connecticut
6,0.17823351878750382,2007,0.8217664812124962,Maine,ME,Maine
7,0.4217871376757315,2007,0.5782128623242685,Massachusetts-North,MA,Massachusetts
8,0.3681403705832895,2007,0.6318596294167105,Massachusetts-South,MA,Massachusetts
9,0.4213102289251775,2007,0.5786897710748224,New Hampshire,NH,New Hampshire
10,0.4286112602250076,2007,0.5713887397749924,New York,NY,New York
11,0.6185641833853975,2007,0.38143581661460246,Rhode Island,RI,Rhode Island
1,0.03465011660048173,2008,0.9653498833995182,Offshore,NA,NA
2,0.321512558758421,2008,0.678487441241579,Georges Bank,NA,NA
3,0.34378043260462327,2008,0.6562195673953768,Gulf of Maine,NA,NA
4,0.35399388763163364,2008,0.6460061123683664,Mid-Atlantic Bight,NA,NA
5,0.14568870209694074,2008,0.8543112979030593,Connecticut,CT,Connecticut
6,0.1812701763610575,2008,0.8187298236389425,Maine,ME,Maine
7,0.39988892380507546,2008,0.6001110761949245,Massachusetts-North,MA,Massachusetts
8,0.3589988132567596,2008,0.6410011867432404,Massachusetts-South,MA,Massachusetts
9,0.41377012872829116,2008,0.5862298712717089,New Hampshire,NH,New Hampshire
10,0.39621211224770936,2008,0.6037878877522906,New York,NY,New York
11,0.596010346051643,2008,0.40398965394835695,Rhode Island,RI,Rhode Island
1,0.031233543353357245,2009,0.9687664566466427,Offshore,NA,NA
2,0.3030388539660949,2009,0.6969611460339051,Georges Bank,NA,NA
3,0.3315957790169769,2009,0.6684042209830231,Gulf of Maine,NA,NA
4,0.33611456804681256,2009,0.6638854319531875,Mid-Atlantic Bight,NA,NA
5,0.12303376262310965,2009,0.8769662373768904,Connecticut,CT,Connecticut
6,0.1652894384643198,2009,0.8347105615356802,Maine,ME,Maine
7,0.3812242544205338,2009,0.6187757455794662,Massachusetts-North,MA,Massachusetts
8,0.3595027109403401,2009,0.6404972890596599,Massachusetts-South,MA,Massachusetts
9,0.3837949154929742,2009,0.6162050845070258,New Hampshire,NH,New Hampshire
10,0.3468054964405033,2009,0.6531945035594967,New York,NY,New York
11,0.5600218712079271,2009,0.4399781287920729,Rhode Island,RI,Rhode Island
1,0.028950935965416584,2010,0.9710490640345835,Offshore,NA,NA
2,0.288373900667737,2010,0.711626099332263,Georges Bank,NA,NA
3,0.3229524910056708,2010,0.6770475089943292,Gulf of Maine,NA,NA
4,0.32076804414769255,2010,0.6792319558523074,Mid-Atlantic Bight,NA,NA
5,0.10599123827088883,2010,0.8940087617291111,Connecticut,CT,Connecticut
6,0.17979448010627602,2010,0.8202055198937239,Maine,ME,Maine
7,0.36868345131459107,2010,0.6313165486854089,Massachusetts-North,MA,Massachusetts
8,0.35393684592992847,2010,0.6460631540700715,Massachusetts-South,MA,Massachusetts
9,0.3895874218234803,2010,0.6104125781765197,New Hampshire,NH,New Hampshire
10,0.3370326846142098,2010,0.6629673153857902,New York,NY,New York
11,0.5608876207396785,2010,0.43911237926032154,Rhode Island,RI,Rhode Island
1,0.027482966033897813,2011,0.9725170339661022,Offshore,NA,NA
2,0.27709449475273906,2011,0.7229055052472609,Georges Bank,NA,NA
3,0.3078891889874226,2011,0.6921108110125773,Gulf of Maine,NA,NA
4,0.32210937681038576,2011,0.6778906231896142,Mid-Atlantic Bight,NA,NA
5,0.09074858698343802,2011,0.909251413016562,Connecticut,CT,Connecticut
6,0.18396866304648588,2011,0.8160313369535142,Maine,ME,Maine
7,0.34715607137761,2011,0.6528439286223899,Massachusetts-North,MA,Massachusetts
8,0.34548468577850633,2011,0.6545153142214937,Massachusetts-South,MA,Massachusetts
9,0.4426569119512036,2011,0.5573430880487964,New Hampshire,NH,New Hampshire
10,0.3308437235403369,2011,0.669156276459663,New York,NY,New York
11,0.5661304939809532,2011,0.43386950601904684,Rhode Island,RI,Rhode Island
1,0.02550442589133687,2012,0.9744955741086632,Offshore,NA,NA
