rgn_id,rgn_name,score,year
1,NA,NA,2017
2,NA,NA,2017
3,NA,NA,2017
4,NA,NA,2017
5,Connecticut,0.61,2017
6,Maine,0.39,2017
7,Massachusetts-North,0.43,2017
8,Massachusetts-South,0.44,2017
9,New Hampshire,0.76,2017
10,New York,0.64,2017
11,Rhode Island,0.9,2017
12,Northeast,0.51,2017
