rgn_id,year,pressure_score
1,1950,0.00160350633385002
1,1951,0.0780373082473676
1,1952,0.0133625527820835
1,1953,0.0026725105564167
1,1954,0.00240525950077503
1,1955,5.3450211128334e-4
1,1956,0.400876583462505
1,1957,0.0702870276337592
1,1958,0.14885883799241
1,1959,0.14404831899086
1,1960,0.124538991929018
1,1961,0.122935485595168
1,1962,0.0761932759634401
1,1963,0.0761932759634401
1,1964,0.0783045593030093
1,1965,0.0700465016836817
1,1966,0.0636324763482816
1,1967,0.0847453097439735
1,1968,0.0617617189587899
1,1969,0.0505371746218398
1,1970,0.0729862632957401
1,1971,0.0676145170773425
1,1972,0.0866160671334652
1,1973,0.00991501416430595
1,1974,0.00962103800310012
1,1975,0.00403549094018922
1,1976,0.0149927842214977
1,1977,0.00780373082473676
1,1978,0.0053450211128334
1,1979,0.0456999305147256
1,1980,0.0125607996151585
1,1981,0.0563899727403923
1,1982,0.101288150088193
1,1983,1
1,1984,0.0318028756213587
1,1985,0.00320701266770004
1,1986,0.0486396921267839
1,1987,1
1,1988,1
1,1989,1
1,1990,1
1,1991,0.974397348869528
1,1992,0.661980864824416
1,1993,0.821262493986852
1,1994,0.938852958469186
1,1995,0.748302955796676
1,1996,0.971992089368753
1,1997,0.72505211395585
1,1998,0.619220695921749
1,1999,0.474103372708322
1,2000,0.456732054091614
1,2001,0.240525950077503
1,2002,0.317227003046662
1,2003,0.117323213426693
1,2004,0.116521460259768
1,2005,0.122935485595168
1,2006,0.104227911700251
1,2007,0.183868726281469
1,2008,0.107969426479235
1,2009,0.115986958148485
1,2010,0.150996846437543
1,2011,0.0155005612272169
1,2012,0.155005612272169
1,2013,0.0499759474049923
1,2014,0.125875247207227
1,2015,0
2,1950,0.00160350633385002
2,1951,0.0780373082473676
2,1952,0.0133625527820835
2,1953,0.0026725105564167
2,1954,0.00240525950077503
2,1955,5.3450211128334e-4
2,1956,0.400876583462505
2,1957,0.0702870276337592
2,1958,0.14885883799241
2,1959,0.14404831899086
2,1960,0.124538991929018
2,1961,0.122935485595168
2,1962,0.0761932759634401
2,1963,0.0761932759634401
2,1964,0.0783045593030093
2,1965,0.0700465016836817
2,1966,0.0636324763482816
2,1967,0.0847453097439735
2,1968,0.0617617189587899
2,1969,0.0505371746218398
2,1970,0.0729862632957401
2,1971,0.0676145170773425
2,1972,0.0866160671334652
2,1973,0.00991501416430595
2,1974,0.00962103800310012
2,1975,0.00403549094018922
2,1976,0.0149927842214977
2,1977,0.00780373082473676
2,1978,0.0053450211128334
2,1979,0.0456999305147256
2,1980,0.0125607996151585
2,1981,0.0563899727403923
2,1982,0.101288150088193
2,1983,1
2,1984,0.0318028756213587
2,1985,0.00320701266770004
2,1986,0.0486396921267839
2,1987,1
2,1988,1
2,1989,1
2,1990,1
2,1991,0.974397348869528
2,1992,0.661980864824416
2,1993,0.821262493986852
2,1994,0.938852958469186
2,1995,0.748302955796676
2,1996,0.971992089368753
2,1997,0.72505211395585
2,1998,0.619220695921749
2,1999,0.474103372708322
2,2000,0.456732054091614
2,2001,0.240525950077503
2,2002,0.317227003046662
2,2003,0.117323213426693
2,2004,0.116521460259768
2,2005,0.122935485595168
2,2006,0.104227911700251
2,2007,0.183868726281469
2,2008,0.107969426479235
2,2009,0.115986958148485
2,2010,0.150996846437543
2,2011,0.0155005612272169
2,2012,0.155005612272169
2,2013,0.0499759474049923
2,2014,0.125875247207227
2,2015,0
3,1950,0.00160350633385002
3,1951,0.0780373082473676
3,1952,0.0133625527820835
3,1953,0.0026725105564167
3,1954,0.00240525950077503
3,1955,5.3450211128334e-4
3,1956,0.400876583462505
3,1957,0.0702870276337592
3,1958,0.14885883799241
3,1959,0.14404831899086
3,1960,0.124538991929018
3,1961,0.122935485595168
3,1962,0.0761932759634401
3,1963,0.0761932759634401
3,1964,0.0783045593030093
3,1965,0.0700465016836817
3,1966,0.0636324763482816
3,1967,0.0847453097439735
3,1968,0.0617617189587899
3,1969,0.0505371746218398
3,1970,0.0729862632957401
3,1971,0.0676145170773425
3,1972,0.0866160671334652
3,1973,0.00991501416430595
3,1974,0.00962103800310012
3,1975,0.00403549094018922
3,1976,0.0149927842214977
3,1977,0.00780373082473676
3,1978,0.0053450211128334
3,1979,0.0456999305147256
3,1980,0.0125607996151585
3,1981,0.0563899727403923
3,1982,0.101288150088193
3,1983,1
3,1984,0.0318028756213587
3,1985,0.00320701266770004
3,1986,0.0486396921267839
3,1987,1
3,1988,1
3,1989,1
3,1990,1
3,1991,0.974397348869528
3,1992,0.661980864824416
3,1993,0.821262493986852
3,1994,0.938852958469186
3,1995,0.748302955796676
3,1996,0.971992089368753
3,1997,0.72505211395585
3,1998,0.619220695921749
3,1999,0.474103372708322
3,2000,0.456732054091614
3,2001,0.240525950077503
3,2002,0.317227003046662
3,2003,0.117323213426693
3,2004,0.116521460259768
3,2005,0.122935485595168
3,2006,0.104227911700251
3,2007,0.183868726281469
3,2008,0.107969426479235
3,2009,0.115986958148485
3,2010,0.150996846437543
3,2011,0.0155005612272169
3,2012,0.155005612272169
3,2013,0.0499759474049923
3,2014,0.125875247207227
3,2015,0
4,1950,0.00160350633385002
4,1951,0.0780373082473676
4,1952,0.0133625527820835
4,1953,0.0026725105564167
4,1954,0.00240525950077503
4,1955,5.3450211128334e-4
4,1956,0.400876583462505
4,1957,0.0702870276337592
4,1958,0.14885883799241
4,1959,0.14404831899086
4,1960,0.124538991929018
4,1961,0.122935485595168
4,1962,0.0761932759634401
4,1963,0.0761932759634401
4,1964,0.0783045593030093
