"","year","rgn_id","rgn_name","score"
"124",2011,1,"Offshore",NA
"125",2012,1,"Offshore",NA
"126",2013,1,"Offshore",NA
"127",2014,1,"Offshore",NA
"128",2015,1,"Offshore",NA
"129",2016,1,"Offshore",NA
"130",2017,1,"Offshore",NA
"131",2005,11,"Rhode Island",0.799625468164794
"132",2006,11,"Rhode Island",0.7964151952916
"133",2007,11,"Rhode Island",0.816211878009631
"134",2008,11,"Rhode Island",0.802568218298555
"135",2009,11,"Rhode Island",0.798555377207062
"136",2010,11,"Rhode Island",0.802835741037988
"137",2011,11,"Rhode Island",0.80390583199572
"138",2012,11,"Rhode Island",0.792134831460674
"139",2013,11,"Rhode Island",0.794275013376137
"140",2014,11,"Rhode Island",0.789459604066346
"141",2015,11,"Rhode Island",0.781968967362226
"142",2016,11,"Rhode Island",0.778758694489032
"143",2017,11,"Rhode Island",0.769127875869449
"144",2005,12,"Northeast",0.820857746422735
"145",2006,12,"Northeast",0.821508762140114
"146",2007,12,"Northeast",0.824830270902255
"147",2008,12,"Northeast",0.802523018055722
"148",2009,12,"Northeast",0.808926886949128
"149",2010,12,"Northeast",0.802576162195916
"150",2011,12,"Northeast",0.792279485033281
"151",2012,12,"Northeast",0.790193577530658
"152",2013,12,"Northeast",0.79432553443076
"153",2014,12,"Northeast",0.791495608965416
"154",2015,12,"Northeast",0.792864070575418
"155",2016,12,"Northeast",0.746615382571379
"156",2017,12,"Northeast",0.741021961815935
