intercept,rmse,rsquared,mae,goal,model,lag
TRUE,0.10958963828817078,0.10698767170055921,0.0848550461969398,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1
TRUE,0.14665400605280152,0.1398470173972979,0.10718148223797808,CW,intercept only,1
TRUE,0.13842839420100284,0.2432651560510158,0.10866203347659087,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),2
TRUE,0.20685264145459373,0.23511433526525813,0.15501282671380487,CW,intercept only,2
TRUE,0.19682542234922018,0.2774836297386801,0.15394922904045935,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),3
TRUE,0.2797386882297294,0.27145987979151837,0.21732549877324425,CW,intercept only,3
TRUE,0.2489954826133814,0.31759044805424885,0.18943801576546906,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),4
TRUE,0.35595656561463357,0.3505729556384785,0.276850240695038,CW,intercept only,4
TRUE,0.2959852670758181,0.3655218964101228,0.23147652264367022,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),5
TRUE,0.43980892209582745,0.43432047309942656,0.33258160151656185,CW,intercept only,5
TRUE,0.3147244286906046,0.4536679610154634,0.25153498899354515,CW,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),6
TRUE,0.42301076981906033,0.5913806827625898,0.3069717725462315,CW,intercept only,6
TRUE,9.095300579096756,0.24686476075935146,3.875665003382178,ECO,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),1
TRUE,9.08591773152651,0.24503921297502512,3.7209251131115106,ECO,intercept only,1
TRUE,12.056516198599526,0.3419544896264908,5.5387036809754395,ECO,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),2
TRUE,12.051483920119301,0.33959372179085856,5.307526649915933,ECO,intercept only,2
TRUE,16.907590591878847,0.34713148088480034,7.737381093453278,ECO,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),3
TRUE,16.897751568587125,0.34481504520210843,7.410197703158287,ECO,intercept only,3
TRUE,22.622192330939793,0.2866924174604394,11.171268499879602,ECO,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),4
TRUE,22.62665489860468,0.28279577073797807,10.652492733900848,ECO,intercept only,4
TRUE,22.479500276708034,0.29718609207822005,12.23781066581616,ECO,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),5
TRUE,22.515276170830074,0.2907328671129768,11.66850634042559,ECO,intercept only,5
TRUE,16.018264968700294,0.34531946304178684,8.797257794943718,ECO,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),6
TRUE,16.00675442373991,0.34168488997099017,8.482540009233961,ECO,intercept only,6
TRUE,0.19942554820301514,0.36211295883832817,0.12467531135398867,FIS,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),1
TRUE,0.18857810739729278,0.20109188892436589,0.13107829503844176,FIS,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),1
TRUE,0.19442546481218975,0.1729347597184989,0.13332623476749675,FIS,d_prs ~ 1 + res_reg + res_soc + factor(year) + factor(region_id),1
TRUE,0.19948381293410336,0.3610941222015836,0.12623462138472352,FIS,intercept only,1
TRUE,0.2255746430599057,0.48525656659709515,0.1661501105858603,FIS,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),2
TRUE,0.23209987863121742,0.31028973244317676,0.1600631783900501,FIS,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),2
TRUE,0.23109390113378778,0.3183970536843726,0.16182200977031175,FIS,d_prs ~ 1 + res_reg + res_soc + factor(year) + factor(region_id),2
TRUE,0.2267952337449069,0.47885270441993094,0.16651585325488172,FIS,intercept only,2
TRUE,0.2861779856772845,0.5049616507108372,0.21523169710631684,FIS,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),3
TRUE,0.26745083176699913,0.32506395236477237,0.19869565817985402,FIS,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),3
TRUE,0.262797180825959,0.35244308188212703,0.20196195282889262,FIS,d_prs ~ 1 + res_reg + res_soc + factor(year) + factor(region_id),3
TRUE,0.2879743066303531,0.4972889314778892,0.21297933221934467,FIS,intercept only,3
TRUE,0.3024838211027533,0.5530791019115647,0.24631299805733747,FIS,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),4
TRUE,0.3110007285060621,0.31344573032928424,0.24353400152360058,FIS,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),4
TRUE,0.2943973024570282,0.3832917282653509,0.23004266534480736,FIS,d_prs ~ 1 + res_reg + res_soc + factor(year) + factor(region_id),4
TRUE,0.31282420667767186,0.5212579235713282,0.25185672661997743,FIS,intercept only,4
TRUE,0.35164220793248935,0.5422678879352236,0.2830669242378526,FIS,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),5
TRUE,0.37298957077503436,0.27008697124232545,0.29241908976921505,FIS,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),5
TRUE,0.36608693217647487,0.3030232783022754,0.28136168200147876,FIS,d_prs ~ 1 + res_reg + res_soc + factor(year) + factor(region_id),5
TRUE,0.35700545092438524,0.5260344736970021,0.2851843005109277,FIS,intercept only,5
TRUE,0.3675506823647636,0.593499503268013,0.288525989440533,FIS,d_prs ~ 1 + res_reg + factor(year) + factor(region_id),6
TRUE,0.4166272634504175,0.2717452293612997,0.313774618723871,FIS,d_prs ~ 1 + res_soc + factor(year) + factor(region_id),6
TRUE,0.412754257076117,0.2920302154568786,0.3164150996636186,FIS,d_prs ~ 1 + res_reg + res_soc + factor(year) + factor(region_id),6
TRUE,0.3745704696275749,0.5756759219165853,0.29242074581842736,FIS,intercept only,6
