goal,dimension,region_id,score,year
ECO,status,11,82.98,2005
ECO,trend,1,,2005
ECO,trend,2,,2005
ECO,trend,3,,2005
ECO,trend,4,,2005
ECO,trend,5,,2005
ECO,trend,6,,2005
ECO,trend,7,,2005
ECO,trend,8,,2005
ECO,trend,9,,2005
ECO,trend,10,,2005
ECO,trend,11,,2005
FIS,future,0,68.95,2005
FIS,future,1,53.13,2005
FIS,future,2,63.79,2005
FIS,future,3,74.79,2005
FIS,future,4,58.89,2005
FIS,future,5,63.06,2005
FIS,future,6,83.2,2005
FIS,future,7,70.08,2005
FIS,future,8,77.36,2005
FIS,future,9,82.29,2005
FIS,future,10,57.93,2005
FIS,future,11,73.91,2005
FIS,pressures,1,26.76,2005
FIS,pressures,2,27.12,2005
FIS,pressures,3,25.94,2005
FIS,pressures,4,27.39,2005
FIS,pressures,5,26.64,2005
FIS,pressures,6,25.79,2005
FIS,pressures,7,26.63,2005
FIS,pressures,8,26.82,2005
FIS,pressures,9,27.3,2005
FIS,pressures,10,27.05,2005
FIS,pressures,11,27.02,2005
FIS,resilience,1,36.36,2005
FIS,resilience,2,36.36,2005
FIS,resilience,3,36.36,2005
FIS,resilience,4,36.36,2005
FIS,resilience,5,36.36,2005
FIS,resilience,6,36.36,2005
FIS,resilience,7,36.36,2005
FIS,resilience,8,36.36,2005
FIS,resilience,9,36.36,2005
FIS,resilience,10,36.36,2005
FIS,resilience,11,36.36,2005
FIS,score,0,67.89,2005
FIS,score,1,52.32,2005
FIS,score,2,62.84,2005
FIS,score,3,73.54,2005
FIS,score,4,58.05,2005
FIS,score,5,62.08,2005
FIS,score,6,81.8,2005
FIS,score,7,68.99,2005
FIS,score,8,76.18,2005
FIS,score,9,81.09,2005
FIS,score,10,57.06,2005
FIS,score,11,72.8,2005
FIS,status,0,66.83,2005
FIS,status,1,51.5,2005
FIS,status,2,61.9,2005
FIS,status,3,72.3,2005
FIS,status,4,57.2,2005
FIS,status,5,61.1,2005
FIS,status,6,80.4,2005
FIS,status,7,67.9,2005
FIS,status,8,75,2005
FIS,status,9,79.9,2005
FIS,status,10,56.2,2005
FIS,status,11,71.7,2005
FIS,trend,1,,2005
FIS,trend,2,,2005
FIS,trend,3,,2005
FIS,trend,4,,2005
FIS,trend,5,,2005
FIS,trend,6,,2005
FIS,trend,7,,2005
FIS,trend,8,,2005
FIS,trend,9,,2005
FIS,trend,10,,2005
FIS,trend,11,,2005
FP,future,0,68.97,2005
FP,future,1,53.13,2005
FP,future,2,63.79,2005
FP,future,3,74.79,2005
FP,future,4,58.89,2005
FP,future,5,58.67,2005
FP,future,6,74.16,2005
FP,future,7,70.08,2005
FP,future,8,77.36,2005
FP,future,9,82.29,2005
FP,future,10,70.22,2005
FP,future,11,75.25,2005
FP,pressures,1,,2005
FP,pressures,2,,2005
FP,pressures,3,,2005
FP,pressures,4,,2005
FP,pressures,5,,2005
FP,pressures,6,,2005
FP,pressures,7,,2005
FP,pressures,8,,2005
FP,pressures,9,,2005
FP,pressures,10,,2005
FP,pressures,11,,2005
FP,resilience,1,,2005
FP,resilience,2,,2005
FP,resilience,3,,2005
FP,resilience,4,,2005
FP,resilience,5,,2005
FP,resilience,6,,2005
FP,resilience,7,,2005
FP,resilience,8,,2005
FP,resilience,9,,2005
FP,resilience,10,,2005
FP,resilience,11,,2005
FP,score,0,68.19,2005
FP,score,1,52.32,2005
FP,score,2,62.84,2005
FP,score,3,73.54,2005
FP,score,4,58.05,2005
FP,score,5,58.72,2005
FP,score,6,73.38,2005
FP,score,7,68.99,2005
FP,score,8,76.18,2005
FP,score,9,81.09,2005
FP,score,10,70.55,2005
FP,score,11,74.39,2005
FP,status,0,67.41,2005
FP,status,1,51.5,2005
FP,status,2,61.9,2005
FP,status,3,72.3,2005
FP,status,4,57.2,2005
FP,status,5,58.76,2005
FP,status,6,72.61,2005
FP,status,7,67.9,2005
FP,status,8,75,2005
FP,status,9,79.9,2005
FP,status,10,70.88,2005
FP,status,11,73.53,2005
FP,trend,1,NaN,2005
FP,trend,2,NaN,2005
FP,trend,3,NaN,2005
FP,trend,4,NaN,2005
FP,trend,5,NaN,2005
FP,trend,6,NaN,2005
FP,trend,7,NaN,2005
FP,trend,8,NaN,2005
FP,trend,9,NaN,2005
FP,trend,10,NaN,2005
